sentence,answer,direction,itemId
La sopa se toma con tenedor.,FALSE,left,lab_1
Las manzanas son una fruta.,TRUE,right,lab_2
Los peces viven fuera del agua.,FALSE,left,lab_3
El agua es de color rojo.,FALSE,left,lab_4
Los perros tienen cuatro patas.,TRUE,right,lab_5
Los médicos trabajan en la panadería.,FALSE,left,lab_6
Los árboles tienen ramas.,TRUE,right,lab_7
Un cuadrado tiene cinco lados.,FALSE,left,lab_8
A los niños y niñas les gusta jugar.,TRUE,right,lab_9
El hielo es frío.,TRUE,right,lab_10
El café es de color azul.,FALSE,left,lab_11
El jugo de naranja se hace con peras.,FALSE,left,lab_12
Los autobuses van por las carreteras.,TRUE,right,lab_13
El fútbol se juega con una cuchara.,FALSE,left,lab_14
Algunas mesas tienen cuatro patas.,TRUE,right,lab_15
Puedo cortar una tela con un tenedor.,FALSE,left,lab_16
Un celular necesita algo de pila para funcionar.,TRUE,right,lab_17
Un martillo sirve para cocinar.,FALSE,left,lab_18
El fuego es caliente.,TRUE,right,lab_19
Las vacas producen leche.,TRUE,right,lab_20
Las fresas son saladas.,FALSE,left,lab_21
Una bicicleta tiene dos ruedas.,TRUE,right,lab_22
Algunas personas caminan descalzas sobre la arena.,TRUE,right,lab_23
Las botellas de plástico contaminan el mar.,TRUE,right,lab_24
Los conejos son un tipo de pájaro.,FALSE,left,lab_25
Los caballos tienen pelo.,TRUE,right,lab_26
Cuando hace calor algunas personas comen helado.,TRUE,right,lab_27
Los pescadores pescan ovejas en el mar.,FALSE,left,lab_28
El sol sale por la noche.,FALSE,left,lab_29
Las estrellas están en el cielo.,TRUE,right,lab_30
Puedo oler una fruta con mis ojos.,FALSE,left,lab_31
Una guitarra sirve para tocar una canción.,TRUE,right,lab_32
Algunas personas mayores utilizan bastón.,TRUE,right,lab_33
Las personas pueden caminar en las nubes.,FALSE,left,lab_34
Los zapatos se ponen en la cabeza.,FALSE,left,lab_35
Las motos sirven para volar.,FALSE,left,lab_36
Las gallinas ponen huevos.,TRUE,right,lab_37
Los guantes se usan en las manos.,TRUE,right,lab_38
Las arañas tienen tres patas.,FALSE,left,lab_39
El tren se mueve por el ferrocarril.,TRUE,right,lab_40
Se necesita fuerza para cargar un saco de piedras.,TRUE,right,lab_41
En muchos lugares los gallos cantan por las mañanas.,TRUE,right,lab_42
El café se endulza con sal.,FALSE,left,lab_43
