"","sentence","answer","direction","difficulty","itemId","corpusId","form","itemNum","itemId_old"
"1","Las gallinas ponen huevos.",TRUE,"right",NA,"form1_labEs_1","labEs","form1",1,"spanish_lab_37"
"2","Los árboles tienen ramas.",TRUE,"right",NA,"form1_labEs_2","labEs","form1",2,"spanish_lab_7"
"3","Los árboles tocan música.",FALSE,"left",NA,"form1_aiEs_3","aiEs","form1",3,"spanish_ai_73"
"4","Los gatos tienen bigotes.",TRUE,"right",NA,"form1_aiHumanEs_4","aiHumanEs","form1",4,"spanish_ai-human_5"
"5","Los pájaros tocan la guitarra.",FALSE,"left",NA,"form1_aiEs_5","aiEs","form1",5,"spanish_ai_66"
"6","Los árboles tienen piernas.",FALSE,"left",NA,"form1_aiEs_6","aiEs","form1",6,"spanish_ai_170"
"7","Las ovejas son bailarinas.",FALSE,"left",NA,"form1_aiHumanEs_7","aiHumanEs","form1",7,"spanish_ai-human_12"
"8","Las tijeras cortan el papel.",TRUE,"right",NA,"form1_aiEs_8","aiEs","form1",8,"spanish_ai_105"
"9","Los aviones vuelan en el cielo.",TRUE,"right",NA,"form1_aiEs_9","aiEs","form1",9,"spanish_ai_146"
"10","Las sillas sirven para sentarse.",TRUE,"right",NA,"form1_aiEs_10","aiEs","form1",10,"spanish_ai_121"
"11","Las bicicletas tienen dos ruedas.",TRUE,"right",NA,"form1_aiEs_11","aiEs","form1",11,"spanish_ai_49"
"12","Los árboles son abogados.",FALSE,"left",NA,"form1_aiEs_12","aiEs","form1",12,"spanish_ai_101"
"13","Los libros tienen letras y palabras.",TRUE,"right",NA,"form1_aiEs_13","aiEs","form1",13,"spanish_ai_26"
"14","A los niños y niñas les gusta jugar.",TRUE,"right",NA,"form1_labEs_14","labEs","form1",14,"spanish_lab_9"
"15","Los tiburones viven en el desierto.",FALSE,"left",NA,"form1_aiEs_15","aiEs","form1",15,"spanish_ai_86"
"16","Los pingüinos practican surf.",FALSE,"left",NA,"form1_aiEs_16","aiEs","form1",16,"spanish_ai_187"
"17","Las uvas se comen calientes.",FALSE,"left",NA,"form1_aiHumanEs_17","aiHumanEs","form1",17,"spanish_ai-human_48"
"18","Los gatos ladran como los perros.",FALSE,"left",NA,"form1_aiEs_18","aiEs","form1",18,"spanish_ai_93"
"19","Las luciérnagas emiten luz.",TRUE,"right",NA,"form1_labEs_19","labEs","form1",19,"spanish_lab_89"
"20","En el desierto hace mucho calor.",TRUE,"right",NA,"form1_labEs_20","labEs","form1",20,"spanish_lab_82"
"21","Las computadoras tienen patas.",FALSE,"left",NA,"form1_aiEs_21","aiEs","form1",21,"spanish_ai_175"
"22","Los elefantes tocan la trompeta.",FALSE,"left",NA,"form1_aiEs_22","aiEs","form1",22,"spanish_ai_194"
"23","La ropa se limpia con barro.",FALSE,"left",NA,"form1_labEs_23","labEs","form1",23,"spanish_lab_70"
"24","Los guantes se usan en las manos.",TRUE,"right",NA,"form1_labEs_24","labEs","form1",24,"spanish_lab_38"
"25","Los jugadores de fútbol patean el balón.",TRUE,"right",NA,"form1_aiEs_25","aiEs","form1",25,"spanish_ai_17"
"26","Las flores hablan en susurros.",FALSE,"left",NA,"form1_aiEs_26","aiEs","form1",26,"spanish_ai_181"
"27","Las tortugas corren maratones.",FALSE,"left",NA,"form1_aiEs_27","aiEs","form1",27,"spanish_ai_97"
"28","La lluvia cae hacia arriba.",FALSE,"left",NA,"form1_aiEs_28","aiEs","form1",28,"spanish_ai_199"
"29","Los profesores enseñan a los estudiantes en el colegio.",TRUE,"right",NA,"form1_labEs_29","labEs","form1",29,"spanish_lab_100"
"30","Las abejas hacen malabares.",FALSE,"left",NA,"form1_aiEs_30","aiEs","form1",30,"spanish_ai_180"
"31","Las flores crecen en primavera.",TRUE,"right",NA,"form1_aiEs_31","aiEs","form1",31,"spanish_ai_35"
"32","Los pájaros carpinteros toman leche.",FALSE,"left",NA,"form1_aiHumanEs_32","aiHumanEs","form1",32,"spanish_ai-human_29"
"33","La miel es ácida como el limón.",FALSE,"left",NA,"form1_labEs_33","labEs","form1",33,"spanish_lab_67"
"34","Los coches tienen ruedas para moverse.",TRUE,"right",NA,"form1_aiEs_34","aiEs","form1",34,"spanish_ai_52"
"35","Una guitarra sirve para tocar una canción.",TRUE,"right",NA,"form1_labEs_35","labEs","form1",35,"spanish_lab_32"
"36","Los trenes nadan en el océano.",FALSE,"left",NA,"form1_aiEs_36","aiEs","form1",36,"spanish_ai_198"
"37","Las estaciones del año cambian.",TRUE,"right",NA,"form1_aiEs_37","aiEs","form1",37,"spanish_ai_115"
"38","Los volcanes pueden entrar en erupción.",TRUE,"right",NA,"form1_aiEs_38","aiEs","form1",38,"spanish_ai_132"
"39","Los relojes miden la temperatura.",FALSE,"left",NA,"form1_aiEs_39","aiEs","form1",39,"spanish_ai_64"
"40","Las bicicletas tienen pedales para avanzar.",TRUE,"right",NA,"form1_aiEs_40","aiEs","form1",40,"spanish_ai_142"
"41","Se puede hacer fuego con hielo.",FALSE,"left",NA,"form1_labEs_41","labEs","form1",41,"spanish_lab_69"
"42","Las espinacas son de color rojo.",FALSE,"left",NA,"form1_labEs_42","labEs","form1",42,"spanish_lab_75"
"43","El viento mueve las ramas de los árboles.",TRUE,"right",NA,"form1_aiEs_43","aiEs","form1",43,"spanish_ai_40"
"44","Las velas sirven para alumbrar en la noche.",TRUE,"right",NA,"form1_labEs_44","labEs","form1",44,"spanish_lab_91"
"45","Las rocas caminan solas en el desierto.",FALSE,"left",NA,"form1_labEs_45","labEs","form1",45,"spanish_lab_50"
"46","Los murciélagos buscan comida de noche.",TRUE,"right",NA,"form1_aiHumanEs_46","aiHumanEs","form1",46,"spanish_ai-human_4"
"47","Los cerdos siempre caminan en dos patas.",FALSE,"left",NA,"form1_labEs_47","labEs","form1",47,"spanish_lab_90"
"48","Los canguros habitan en los nevados.",FALSE,"left",NA,"form1_aiHumanEs_48","aiHumanEs","form1",48,"spanish_ai-human_24"
"49","Los bailarines se mueven al ritmo de la música.",TRUE,"right",NA,"form1_aiEs_49","aiEs","form1",49,"spanish_ai_19"
"50","Los jardineros juegan al fútbol con flores.",FALSE,"left",NA,"form1_aiEs_50","aiEs","form1",50,"spanish_ai_178"
"51","El trabajo del pintor es cantar canciones.",FALSE,"left",NA,"form1_labEs_51","labEs","form1",51,"spanish_lab_61"
"52","Algunas mesas tienen cuatro patas.",TRUE,"right",NA,"form1_labEs_52","labEs","form1",52,"spanish_lab_15"
"53","Un celular necesita algo de pila para funcionar.",TRUE,"right",NA,"form1_labEs_53","labEs","form1",53,"spanish_lab_17"
"54","Un cuadrado tiene cinco lados.",FALSE,"left",NA,"form1_labEs_54","labEs","form1",54,"spanish_lab_8"
