"","ageMonths",thetaEstimate,roarScore,standardScore,percentile
"1","84",-3,300,<69,<2
"2","84",-2.9,307,<69,<2
"3","84",-2.8,313,<69,<2
"4","84",-2.7,320,69,2
"5","84",-2.6,327,74,4
"6","84",-2.5,333,77,6
"7","84",-2.4,340,80,9
"8","84",-2.3,347,82,12
"9","84",-2.2,353,84,15
"10","84",-2.1,360,88,21
"11","84",-2,367,90,25
"12","84",-1.9,373,91,28
"13","84",-1.8,380,93,31
"14","84",-1.7,387,94,34
"15","84",-1.6,393,97,41
"16","84",-1.5,400,98,44
"17","84",-1.4,407,98,46
"18","84",-1.3,413,100,50
"19","84",-1.2,420,103,57
"20","84",-1.1,427,103,58
"21","84",-1,433,105,64
"22","84",-0.9,440,107,68
"23","84",-0.8,447,108,71
"24","84",-0.7,453,109,72
"25","84",-0.6,460,111,76
"26","84",-0.5,467,112,79
"27","84",-0.4,473,113,81
"28","84",-0.3,480,115,84
"29","84",-0.2,487,116,86
"30","84",-0.1,493,118,88
"31","84",0,500,119,90
"32","84",0.1,507,121,92
"33","84",0.2,513,122,93
"34","84",0.3,520,125,95
"35","84",0.4,527,126,96
"36","84",0.5,533,127,96
"37","84",0.6,540,128,97
"38","84",0.7,547,131,98
"39","84",0.8,553,132,98
"40","84",0.9,560,134,99
"41","84",1,567,135,99
"42","84",1.1,573,>135,>99
"43","84",1.2,580,>135,>99
"44","84",1.3,587,>135,>99
"45","84",1.4,593,>135,>99
"46","84",1.5,600,>135,>99
"47","84",1.6,607,>135,>99
"48","84",1.7,613,>135,>99
"49","84",1.8,620,>135,>99
"50","84",1.9,627,>135,>99
"51","84",2,633,>135,>99
"52","84",2.1,640,>135,>99
"53","84",2.2,647,>135,>99
"54","84",2.3,653,>135,>99
"55","84",2.4,660,>135,>99
"56","84",2.5,667,>135,>99
"57","84",2.6,673,>135,>99
"58","84",2.7,680,>135,>99
"59","84",2.8,687,>135,>99
"60","84",2.9,693,>135,>99
"61","84",3,700,>135,>99
"62","84",3.1,707,>135,>99
"63","84",3.2,713,>135,>99
"64","84",3.3,720,>135,>99
"65","84",3.4,727,>135,>99
"66","84",3.5,733,>135,>99
"67","84",3.6,740,>135,>99
"68","84",3.7,747,>135,>99
"69","84",3.8,753,>135,>99
"70","84",3.9,760,>135,>99
"71","84",4,767,>135,>99
"72","84",4.1,773,>135,>99
"73","84",4.2,780,>135,>99
"74","84",4.3,787,>135,>99
"75","84",4.4,793,>135,>99
"76","85",-3,300,<65,<1
"77","85",-2.9,307,<65,<1
"78","85",-2.8,313,<65,<1
"79","85",-2.7,320,65,1
"80","85",-2.6,327,74,4
"81","85",-2.5,333,75,5
"82","85",-2.4,340,81,10
"83","85",-2.3,347,82,12
"84","85",-2.2,353,84,14
"85","85",-2.1,360,86,17
"86","85",-2,367,88,21
"87","85",-1.9,373,90,26
"88","85",-1.8,380,93,31
"89","85",-1.7,387,93,33
"90","85",-1.6,393,96,39
"91","85",-1.5,400,97,43
"92","85",-1.4,407,98,44
"93","85",-1.3,413,100,51
"94","85",-1.2,420,102,54
"95","85",-1.1,427,103,58
"96","85",-1,433,105,63
"97","85",-0.9,440,105,64
"98","85",-0.8,447,107,69
"99","85",-0.7,453,109,73
"100","85",-0.6,460,111,76
"101","85",-0.5,467,112,78
"102","85",-0.4,473,113,81
"103","85",-0.3,480,114,82
"104","85",-0.2,487,116,86
"105","85",-0.1,493,118,88
"106","85",0,500,119,90
"107","85",0.1,507,120,91
"108","85",0.2,513,121,92
"109","85",0.3,520,123,94
"110","85",0.4,527,125,95
"111","85",0.5,533,126,96
"112","85",0.6,540,127,96
"113","85",0.7,547,128,97
"114","85",0.8,553,131,98
"115","85",0.9,560,132,98
"116","85",1,567,134,99
"117","85",1.1,573,135,99
"118","85",1.2,580,>135,>99
"119","85",1.3,587,>135,>99
"120","85",1.4,593,>135,>99
"121","85",1.5,600,>135,>99
"122","85",1.6,607,>135,>99
"123","85",1.7,613,>135,>99
"124","85",1.8,620,>135,>99
"125","85",1.9,627,>135,>99
"126","85",2,633,>135,>99
"127","85",2.1,640,>135,>99
"128","85",2.2,647,>135,>99
"129","85",2.3,653,>135,>99
"130","85",2.4,660,>135,>99
"131","85",2.5,667,>135,>99
"132","85",2.6,673,>135,>99
"133","85",2.7,680,>135,>99
"134","85",2.8,687,>135,>99
"135","85",2.9,693,>135,>99
"136","85",3,700,>135,>99
"137","85",3.1,707,>135,>99
"138","85",3.2,713,>135,>99
"139","85",3.3,720,>135,>99
"140","85",3.4,727,>135,>99
"141","85",3.5,733,>135,>99
"142","85",3.6,740,>135,>99
"143","85",3.7,747,>135,>99
"144","85",3.8,753,>135,>99
"145","85",3.9,760,>135,>99
"146","85",4,767,>135,>99
"147","85",4.1,773,>135,>99
"148","85",4.2,780,>135,>99
"149","85",4.3,787,>135,>99
"150","85",4.4,793,>135,>99
"151","86",-3,300,<65,<1
"152","86",-2.9,307,<65,<1
"153","86",-2.8,313,<65,<1
"154","86",-2.7,320,65,1
"155","86",-2.6,327,72,3
"156","86",-2.5,333,78,7
"157","86",-2.4,340,81,10
"158","86",-2.3,347,83,13
"159","86",-2.2,353,85,16
"160","86",-2.1,360,87,19
"161","86",-2,367,89,23
"162","86",-1.9,373,90,26
"163","86",-1.8,380,92,29
"164","86",-1.7,387,93,33
"165","86",-1.6,393,95,38
"166","86",-1.5,400,97,42
"167","86",-1.4,407,98,44
"168","86",-1.3,413,99,48
"169","86",-1.2,420,101,53
"170","86",-1.1,427,102,54
"171","86",-1,433,103,58
"172","86",-0.9,440,105,63
"173","86",-0.8,447,107,67
"174","86",-0.7,453,108,71
"175","86",-0.6,460,109,73
"176","86",-0.5,467,111,76
"177","86",-0.4,473,112,79
"178","86",-0.3,480,113,81
"179","86",-0.2,487,115,84
"180","86",-0.1,493,116,86
"181","86",0,500,118,88
"182","86",0.1,507,119,90
"183","86",0.2,513,120,91
"184","86",0.3,520,122,93
"185","86",0.4,527,123,94
"186","86",0.5,533,125,95
"187","86",0.6,540,126,96
"188","86",0.7,547,127,96
"189","86",0.8,553,128,97
"190","86",0.9,560,131,98
"191","86",1,567,132,98
"192","86",1.1,573,134,99
"193","86",1.2,580,135,99
"194","86",1.3,587,>135,>99
"195","86",1.4,593,>135,>99
"196","86",1.5,600,>135,>99
"197","86",1.6,607,>135,>99
"198","86",1.7,613,>135,>99
"199","86",1.8,620,>135,>99
"200","86",1.9,627,>135,>99
"201","86",2,633,>135,>99
"202","86",2.1,640,>135,>99
"203","86",2.2,647,>135,>99
"204","86",2.3,653,>135,>99
"205","86",2.4,660,>135,>99
"206","86",2.5,667,>135,>99
"207","86",2.6,673,>135,>99
"208","86",2.7,680,>135,>99
"209","86",2.8,687,>135,>99
"210","86",2.9,693,>135,>99
"211","86",3,700,>135,>99
"212","86",3.1,707,>135,>99
"213","86",3.2,713,>135,>99
"214","86",3.3,720,>135,>99
"215","86",3.4,727,>135,>99
"216","86",3.5,733,>135,>99
"217","86",3.6,740,>135,>99
"218","86",3.7,747,>135,>99
"219","86",3.8,753,>135,>99
"220","86",3.9,760,>135,>99
"221","86",4,767,>135,>99
"222","86",4.1,773,>135,>99
"223","86",4.2,780,>135,>99
"224","86",4.3,787,>135,>99
"225","86",4.4,793,>135,>99
"226","87",-3,300,<65,<1
"227","87",-2.9,307,<65,<1
"228","87",-2.8,313,<65,<1
"229","87",-2.7,320,65,1
"230","87",-2.6,327,72,3
"231","87",-2.5,333,75,5
"232","87",-2.4,340,80,9
"233","87",-2.3,347,81,10
"234","87",-2.2,353,83,13
"235","87",-2.1,360,85,16
"236","87",-2,367,88,21
"237","87",-1.9,373,90,25
"238","87",-1.8,380,92,29
"239","87",-1.7,387,93,31
"240","87",-1.6,393,94,34
