identifier,label,de,en,en-us,es-co,es
components/game-tabs.LEVANTE TRANSLATIONS--------------------------,LEVANTE TRANSLATIONS--------------------------,,,,,
components/game-tabs.clickToStart,clickToStart,Klicken zum Starten,Click to start,Click to start,Haz clic para empezar,Haz clic para empezar
components/game-tabs.egmaMathDescription,egmaMathDescription,Löse die Matheaufgaben.,Solve the math problems.,Solve the math problems.,Resuelve los problemas matemáticos.,Resuelve los problemas matemáticos.
components/game-tabs.egmaMathName,egmaMathName,Mathe,Math,Math,Matemáticas,Matemáticas
components/game-tabs.heartsAndFlowersDescription,heartsAndFlowersDescription,Wähle die richige Seite für die Herzen und Blumen.,Match the correct side to the hearts and flowers.,Match the correct side to the hearts and flowers.,Haz coincidir el lado correcto con los corazones y las flores.,Haz coincidir el lado correcto con los corazones y las flores.
components/game-tabs.heartsAndFlowersName,heartsAndFlowersName,Herzen & Blumen,Hearts and Flowers,Hearts and Flowers,Corazones y Flores,Corazones y Flores
components/game-tabs.introDescription,introDescription,"Schau dir an, wie man unsere Spiele spielt.",Learn how to play our games. ,Learn how to play our games. ,Aprende a jugar a nuestros juegos.,Aprende a jugar a nuestros juegos.
components/game-tabs.introName,introName,Anleitungen,Introduction,Introduction,Introducción,Introducción
components/game-tabs.matrixReasoningDescription,matrixReasoningDescription,"Finde das fehlende Teil, um das Puzzle zu vervollständigen.",Find the missing piece to complete the puzzle.,Find the missing piece to complete the puzzle.,Encuentra la pieza que falta para completar el rompecabeza.,Encuentra la pieza que falta para completar el rompecabeza.
components/game-tabs.matrixReasoningName,matrixReasoningName,Musterspiel,Pattern matching,Pattern matching,Razonamiento Matricial,Razonamiento Matricial
components/game-tabs.mefsDescription,mefsDescription,Formen und Farben zuordnen.,Match the shapes and colors.,Match the shapes and colors.,Empareja las formas y los colores.,Empareja las formas y los colores.
components/game-tabs.mefsName,mefsName,Löwe & Affe,Lion and Monkey,Lion and Monkey,El León y El Mono,El León y El Mono
components/game-tabs.memoryGameDescription,memoryGameDescription,"Schau dir genau an, wie die Quadrate aufleuchten. Merke dir die Reihenfolge und mach das Muster genauso nach.",Watch the squares light up. Remember the order and make the same pattern.,Watch the squares light up. Remember the order and make the same pattern.,Observa cómo se iluminan los cuadrados. Recuerda el orden y haz el mismo patrón.,Observa cómo se iluminan los cuadrados. Recuerda el orden y haz el mismo patrón.
components/game-tabs.memoryGameName,memoryGameName,Merkspiel,Memory,Memory,Memoria,Memoria
components/game-tabs.mentalRotationDescription,mentalRotationDescription,Ordne die Bilder zu.,Match the pictures.,Match the pictures.,Empareja las imágenes.,Empareja las imágenes.
components/game-tabs.mentalRotationName,mentalRotationName,Formenspiel,Shape Rotation,Shape Rotation,Rotación Mental,Rotación Mental
components/game-tabs.roarInferenceDescription,roarInferenceDescription,,Read the stories and answer the questions.,Read the stories and answer the questions.,Lee las historias y responde a las preguntas.,Lee las historias y responde a las preguntas.
components/game-tabs.roarInferenceName,roarInferenceName,,Roar - Inference,Roar - Inference,Roar - Inferencia,Roar - Inferencia
components/game-tabs.sameDifferentSelectionDescription,sameDifferentSelectionDescription,"Finde Dinge, die die Formen gemeinsam haben.",Find things that are the same about the shapes.,Find things that are the same about the shapes.,Encuentra cosas iguales en las formas.,Encuentra cosas iguales en las formas.
components/game-tabs.sameDifferentSelectionName,sameDifferentSelectionName,Gleich & Verschieden,Same & Different,Same & Different,Iguales y Diferentes,Iguales y Diferentes
components/game-tabs.surveyDescriptionChild,surveyDescriptionChild,Hier geht es um Fragen zu deiner Schulzeit.,Answer questions about your time at school.,Answer questions about your time at school.,Responde a las preguntas sobre tu estancia en el colegio.,Responde a las preguntas sobre tu estancia en el colegio.
