sentence,answer,direction,corpusId,itemId
UM COBERTOR PODE SER MUITO MACIO.,TRUE,right,portuguse_lab,portuguese_lab_1
PEIXES TÊM DEDOS.,FALSE,left,portuguse_lab,portuguese_lab_2
SANDUÍCHES SÃO COMIDAS.,TRUE,right,portuguse_lab,portuguese_lab_3
ALGUMAS MINHOCAS VÃO À ESCOLA EM ABÓBORAS.,FALSE,left,portuguse_lab,portuguese_lab_4
CASACOS PODEM SER FEITOS DE CARVÃO.,FALSE,left,portuguse_lab,portuguese_lab_5
ALGUMAS CRIANÇAS TÊM MEDO DO ESCURO.,TRUE,right,portuguse_lab,portuguese_lab_6
O PROFESSOR É UMA PESSOA QUE TRABALHA EM ESCOLA.,TRUE,right,portuguse_lab,portuguese_lab_7
O OCEANO É A CASA DE MUITOS ANIMAIS AQUÁTICOS.,TRUE,right,portuguse_lab,portuguese_lab_8
A ÁGUA É VERMELHA.,FALSE,left,portuguse_lab,portuguese_lab_9
COZINHEIROS PREPARAM REFEIÇÕES NAS SUAS CAMAS.,FALSE,left,portuguse_lab,portuguese_lab_10
AS PESSOAS GOSTAM DE COMER LAMA.,FALSE,left,portuguse_lab,portuguese_lab_11
AS CRIANÇAS PODEM FICAR TRISTES.,TRUE,right,portuguse_lab,portuguese_lab_12
CARROS TÊM RODAS.,TRUE,right,portuguse_lab,portuguese_lab_13
TODOS OS CARROS SÃO AMARELOS.,FALSE,left,portuguse_lab,portuguese_lab_14
ÁRVORES TÊM GALHOS.,TRUE,right,portuguse_lab,portuguese_lab_15
A NEVE CAI EM LUGARES MUITO QUENTES.,FALSE,left,portuguse_lab,portuguese_lab_16
LIXO É JOGADO FORA NOS CHUVEIROS.,FALSE,left,portuguse_lab,portuguese_lab_17
AS BOLHAS SÃO FEITAS DE AREIA.,FALSE,left,portuguse_lab,portuguese_lab_18
CRIANÇAS GOSTAM DE BRINCAR COM BRINQUEDOS.,TRUE,right,portuguse_lab,portuguese_lab_19
