"","word","a","b","c","d","corpusId","realpseudo"
"1","ablood",1,-0.581,0.5,1,"B","pseudo"
"2","accustomed",1,2.0193,0.5,1,"B","real"
"3","agreed",1,-1.5328,0.5,1,"C","real"
"4","albust",1,-0.4836,0.5,1,"C","pseudo"
"5","alk",1,-1.2998,0.5,1,"C","pseudo"
"6","almost",1,-1.9373,0.5,1,"C","real"
"7","ancrusinishness",1,-0.6452,0.5,1,"A","pseudo"
"8","animal",1,-1.8634,0.5,1,"B","real"
"9","answer",1,-1.8828,0.5,1,"A","real"
"10","ap",1,-1.1356,0.5,1,"C","pseudo"
"11","appropriates",1,0.724,0.5,1,"C","real"
"12","arm",1,-1.21,0.5,1,"A","real"
"13","arsher",1,-0.4668,0.5,1,"A","pseudo"
"14","asca",1,-1.7761,0.5,1,"B","pseudo"
"15","ase",1,-1.2726,0.5,1,"B","pseudo"
"16","baafness",1,-1.1653,0.5,1,"B","pseudo"
"17","back",1,-1.868,0.5,1,"A","real"
"18","bangs",1,-0.3012,0.5,1,"B","real"
"19","banny",1,0.1023,0.5,1,"C","pseudo"
"20","bathroom",1,-2.2976,0.5,1,"B","real"
"21","become",1,-2.0951,0.5,1,"A","real"
"22","beeltisul",1,-1.0042,0.5,1,"A","pseudo"
"23","begin",1,-1.769,0.5,1,"C","real"
"24","benon",1,-1.2143,0.5,1,"B","pseudo"
"25","besime",1,-0.8625,0.5,1,"B","pseudo"
"26","best",1,-1.9808,0.5,1,"A","real"
"27","black",1,-2.1126,0.5,1,"A","real"
"28","blans",1,-0.6555,0.5,1,"A","pseudo"
"29","bledge",1,1.0279,0.5,1,"A","pseudo"
"30","bove",1,-0.5858,0.5,1,"B","pseudo"
"31","brought",1,-1.413,0.5,1,"A","real"
"32","brubs",1,-0.8158,0.5,1,"C","pseudo"
"33","brush",1,-1.5359,0.5,1,"B","real"
"34","budget",1,-0.7395,0.5,1,"B","real"
"35","building",1,-1.9192,0.5,1,"B","real"
"36","bulbet",1,-0.7102,0.5,1,"A","pseudo"
"37","business",1,-1.5109,0.5,1,"B","real"
"38","candy",1,-1.7709,0.5,1,"C","real"
"39","cas",1,-1.1565,0.5,1,"C","pseudo"
"40","chance",1,-1.5052,0.5,1,"C","real"
"41","chanding",1,1.3591,0.5,1,"C","pseudo"
"42","chareet",1,-0.4747,0.5,1,"B","pseudo"
"43","charks",1,0.3231,0.5,1,"B","pseudo"
"44","che",1,-1.772,0.5,1,"C","pseudo"
"45","cibsus",1,-1.3178,0.5,1,"A","pseudo"
"46","circus",1,-0.7235,0.5,1,"B","real"
"47","clomify",1,-0.2706,0.5,1,"B","pseudo"
"48","cok",1,-1.6162,0.5,1,"C","pseudo"
"49","cold",1,-2.1961,0.5,1,"B","real"
"50","collosks",1,-1.2432,0.5,1,"C","pseudo"
"51","come",1,-2.0624,0.5,1,"B","real"
"52","complase",1,2.51,0.5,1,"B","pseudo"
"53","complete",1,-2.1519,0.5,1,"C","real"
"54","compliment",1,-1.4037,0.5,1,"C","real"
"55","configuration",1,0.2159,0.5,1,"C","real"
"56","contain",1,-0.5884,0.5,1,"C","real"
"57","coth",1,0.5866,0.5,1,"A","pseudo"
"58","cotosks",1,-1.4941,0.5,1,"C","pseudo"
"59","cotplicant",1,-0.118,0.5,1,"B","pseudo"
"60","crit",1,-0.2989,0.5,1,"A","pseudo"
"61","cuppom",1,-0.83,0.5,1,"A","pseudo"
"62","custom",1,-1.1312,0.5,1,"A","real"
"63","daople",1,-1.674,0.5,1,"C","pseudo"
"64","describe",1,-1.0471,0.5,1,"A","real"
"65","destrifs",1,-1.1689,0.5,1,"B","pseudo"
"66","distance",1,-1.2057,0.5,1,"C","real"
"67","dogo",1,-0.6094,0.5,1,"C","pseudo"
"68","dolc",1,-1.9471,0.5,1,"B","pseudo"
"69","doubtful",1,0.6291,0.5,1,"B","real"
"70","drustion",1,0.1956,0.5,1,"C","pseudo"
"71","dryer",1,-0.1658,0.5,1,"A","real"
"72","duttery",1,-0.5047,0.5,1,"C","pseudo"
"73","eamn",1,-1.7994,0.5,1,"C","pseudo"
"74","ef",1,-1.9209,0.5,1,"A","pseudo"
"75","elements",1,-0.5745,0.5,1,"A","real"
"76","fafever",1,-1.3399,0.5,1,"C","pseudo"
"77","famous",1,-1.6985,0.5,1,"B","real"
"78","farmer",1,-1.7147,0.5,1,"B","real"
"79","faster",1,-1.9578,0.5,1,"A","real"
"80","fatter",1,1.5363,0.5,1,"A","real"
"81","fattify",1,-0.5522,0.5,1,"A","pseudo"
"82","fistory",1,-0.0619,0.5,1,"C","pseudo"
"83","fite",1,-0.0329,0.5,1,"B","pseudo"
"84","flankfopper",1,-0.9824,0.5,1,"B","pseudo"
"85","freat",1,0.7,0.5,1,"C","pseudo"
"86","from",1,-1.9543,0.5,1,"A","real"
"87","fror",1,-1.2757,0.5,1,"A","pseudo"
"88","fun",1,-1.9692,0.5,1,"B","real"
"89","garden",1,-1.6296,0.5,1,"C","real"
"90","ge",1,-1.9209,0.5,1,"B","pseudo"
"91","germantia",1,-0.1931,0.5,1,"B","pseudo"
"92","ggnoi",1,-2.0585,0.5,1,"A","pseudo"
"93","ginth",1,-1.476,0.5,1,"A","pseudo"
"94","give",1,-1.902,0.5,1,"B","real"
"95","good",1,-2.0017,0.5,1,"C","real"
"96","grasshopper",1,-0.5701,0.5,1,"C","real"
"97","gravel",1,-0.3295,0.5,1,"C","real"
"98","great",1,-2.0924,0.5,1,"B","real"
"99","groon",1,0.3688,0.5,1,"A","pseudo"
"100","guarantee",1,0.5863,0.5,1,"B","real"
"101","guess",1,-1.3482,0.5,1,"A","real"
"102","guoys",1,-1.6377,0.5,1,"C","pseudo"
"103","gurynh",1,-1.8788,0.5,1,"C","pseudo"
"104","hammer",1,-1.3249,0.5,1,"B","real"
"105","hane",1,-0.6281,0.5,1,"C","pseudo"
"106","hello",1,-2.432,0.5,1,"C","real"
"107","him",1,-1.9585,0.5,1,"C","real"
"108","history",1,-1.947,0.5,1,"C","real"
"109","hot",1,-1.9839,0.5,1,"C","real"
"110","however",1,-1.2275,0.5,1,"A","real"
"111","hu",1,-1.9647,0.5,1,"B","pseudo"
"112","hungry",1,-2.0196,0.5,1,"C","real"
"113","hus",1,-1.2454,0.5,1,"A","pseudo"
"114","hust",1,1.3227,0.5,1,"A","pseudo"
"115","imagine",1,-1.7285,0.5,1,"C","real"
"116","imeyits",1,-1.6035,0.5,1,"B","pseudo"
"117","inni",1,-1.9194,0.5,1,"A","pseudo"
"118","inside",1,-1.9305,0.5,1,"A","real"
"119","insows",1,-1.1476,0.5,1,"B","pseudo"
"120","into",1,-1.5771,0.5,1,"B","real"
"121","invent",1,-0.3202,0.5,1,"A","real"
"122","investigate",1,-0.878,0.5,1,"C","real"
"123","ip",1,-1.6792,0.5,1,"A","pseudo"
"124","jewel",1,0.1001,0.5,1,"B","real"
"125","jixel",1,-1.3912,0.5,1,"B","pseudo"
"126","khtna",1,-1.851,0.5,1,"C","pseudo"
"127","lame",1,-0.3846,0.5,1,"C","real"
"128","lant",1,-0.6761,0.5,1,"B","pseudo"
"129","left",1,-1.1106,0.5,1,"B","real"
"130","leld",1,-0.2464,0.5,1,"A","pseudo"
"131","liberty",1,-0.7144,0.5,1,"A","real"
"132","library",1,-1.9472,0.5,1,"A","real"
"133","liffs",1,-0.7959,0.5,1,"C","pseudo"
"134","light",1,-2.0091,0.5,1,"B","real"
"135","listen",1,-1.7363,0.5,1,"A","real"
"136","loleh",1,-1.7599,0.5,1,"C","pseudo"
"137","loms",1,-1.1972,0.5,1,"A","pseudo"
