word,realpseudo,a,b,c,d,corpusId
abenteuerlich,real,1,0,0.5,1,german-core
Affe,real,1,0,0.5,1,german-random
alt,real,1,0,0.5,1,german-core
Apfel,real,1,0,0.5,1,german-random
Apotheke,real,1,0,0.5,1,german-random
Astronautin,real,1,0,0.5,1,german-random
Auge,real,1,0,0.5,1,german-core
Auto,real,1,0,0.5,1,german-random
backen,real,1,0,0.5,1,german-core
Ball,real,1,0,0.5,1,german-random
Banane,real,1,0,0.5,1,german-random
Bär,real,1,0,0.5,1,german-random
basteln,real,1,0,0.5,1,german-random
Baum,real,1,0,0.5,1,german-random
beeindruckend,real,1,0,0.5,1,german-random
Bein,real,1,0,0.5,1,german-random
beobachten,real,1,0,0.5,1,german-random
Berg,real,1,0,0.5,1,german-random
Bibliothek,real,1,0,0.5,1,german-random
Biene,real,1,0,0.5,1,german-random
Blume,real,1,0,0.5,1,german-random
Brot,real,1,0,0.5,1,german-random
Brücke,real,1,0,0.5,1,german-random
Buchstabe,real,1,0,0.5,1,german-random
bunte,real,1,0,0.5,1,german-random
Dampfschifffahrt,real,1,0,0.5,1,german-random
Dinosaurier,real,1,0,0.5,1,german-random
Drachen,real,1,0,0.5,1,german-random
dunkel,real,1,0,0.5,1,german-core
dünn,real,1,0,0.5,1,german-random
Eis,real,1,0,0.5,1,german-random
eklig,real,1,0,0.5,1,german-core
Elefant,real,1,0,0.5,1,german-random
entdecken,real,1,0,0.5,1,german-core
entwickeln,real,1,0,0.5,1,german-random
Erde,real,1,0,0.5,1,german-random
ernst,real,1,0,0.5,1,german-random
essen,real,1,0,0.5,1,german-random
Eule,real,1,0,0.5,1,german-random
experimentieren,real,1,0,0.5,1,german-random
Fantasie,real,1,0,0.5,1,german-random
Farbe,real,1,0,0.5,1,german-random
Fernseher,real,1,0,0.5,1,german-random
Feuerwehr,real,1,0,0.5,1,german-random
finden,real,1,0,0.5,1,german-random
Fisch,real,1,0,0.5,1,german-random
Flasche,real,1,0,0.5,1,german-core
Flugzeug,real,1,0,0.5,1,german-random
forschen,real,1,0,0.5,1,german-random
Frau,real,1,0,0.5,1,german-random
frei,real,1,0,0.5,1,german-random
Freund,real,1,0,0.5,1,german-random
Frosch,real,1,0,0.5,1,german-random
fühlen,real,1,0,0.5,1,german-core
für,real,1,0,0.5,1,german-core
Garten,real,1,0,0.5,1,german-core
Geheimnis,real,1,0,0.5,1,german-core
genial,real,1,0,0.5,1,german-random
Geschwindigkeit,real,1,0,0.5,1,german-random
Giraffe,real,1,0,0.5,1,german-random
Gitarre,real,1,0,0.5,1,german-random
glitzernd,real,1,0,0.5,1,german-core
glücklich,real,1,0,0.5,1,german-random
Goldfisch,real,1,0,0.5,1,german-random
Gras,real,1,0,0.5,1,german-random
Gummistiefel,real,1,0,0.5,1,german-core
Haar,real,1,0,0.5,1,german-random
Hai,real,1,0,0.5,1,german-core
Hand,real,1,0,0.5,1,german-random
Haus,real,1,0,0.5,1,german-random
helfen,real,1,0,0.5,1,german-core
hell,real,1,0,0.5,1,german-random
hellhörig,real,1,0,0.5,1,german-random
Herz,real,1,0,0.5,1,german-core
Himmel,real,1,0,0.5,1,german-random
hinter,real,1,0,0.5,1,german-random
Hof,real,1,0,0.5,1,german-random
hören,real,1,0,0.5,1,german-random
hundert,real,1,0,0.5,1,german-random
Hürde,real,1,0,0.5,1,german-random
ich,real,1,0,0.5,1,german-random
Insel,real,1,0,0.5,1,german-core
Jacht,real,1,0,0.5,1,german-random
Johannisbeere,real,1,0,0.5,1,german-random
Käfer,real,1,0,0.5,1,german-random
kalt,real,1,0,0.5,1,german-random
Kamera,real,1,0,0.5,1,german-random
Kaninchen,real,1,0,0.5,1,german-random
kann,real,1,0,0.5,1,german-random
Kichererbse,real,1,0,0.5,1,german-random
Kind,real,1,0,0.5,1,german-random
Klavier,real,1,0,0.5,1,german-random
Klee,real,1,0,0.5,1,german-core
klein,real,1,0,0.5,1,german-random
klettern,real,1,0,0.5,1,german-random
kochen,real,1,0,0.5,1,german-core
kommunizieren,real,1,0,0.5,1,german-random
konstruieren,real,1,0,0.5,1,german-random
kontaktlos,real,1,0,0.5,1,german-random
Kontinent,real,1,0,0.5,1,german-random
kooperieren,real,1,0,0.5,1,german-random
Kopf,real,1,0,0.5,1,german-random
Krabbe,real,1,0,0.5,1,german-random
Krankenhaus,real,1,0,0.5,1,german-random
kreativ,real,1,0,0.5,1,german-random
Krokodil,real,1,0,0.5,1,german-core
Kuchen,real,1,0,0.5,1,german-random
Labyrinth,real,1,0,0.5,1,german-random
lachen,real,1,0,0.5,1,german-random
landwirtschaftlich,real,1,0,0.5,1,german-random
langsam,real,1,0,0.5,1,german-core
laufen,real,1,0,0.5,1,german-random
lecker,real,1,0,0.5,1,german-random
Lehrerin,real,1,0,0.5,1,german-random
lernen,real,1,0,0.5,1,german-random
Lieblingsbeschäftigung,real,1,0,0.5,1,german-random
Löwe,real,1,0,0.5,1,german-random
lustig,real,1,0,0.5,1,german-random
magisch,real,1,0,0.5,1,german-random
malen,real,1,0,0.5,1,german-random
Maus,real,1,0,0.5,1,german-random
Medizin,real,1,0,0.5,1,german-random
Mikroskop,real,1,0,0.5,1,german-random
Milch,real,1,0,0.5,1,german-random
Monat,real,1,0,0.5,1,german-random
Mond,real,1,0,0.5,1,german-random
Mund,real,1,0,0.5,1,german-random
musizieren,real,1,0,0.5,1,german-random
Nacht,real,1,0,0.5,1,german-random
Nase,real,1,0,0.5,1,german-core
neben,real,1,0,0.5,1,german-random
neu,real,1,0,0.5,1,german-random
neugierig,real,1,0,0.5,1,german-core
obwohl,real,1,0,0.5,1,german-core
Ohrringe,real,1,0,0.5,1,german-random
Orchester,real,1,0,0.5,1,german-random
Palast,real,1,0,0.5,1,german-random
Papagei,real,1,0,0.5,1,german-random
Pinsel,real,1,0,0.5,1,german-core
Planetarium,real,1,0,0.5,1,german-random
programmieren,real,1,0,0.5,1,german-random
Rätsel,real,1,0,0.5,1,german-random
Regenbogen,real,1,0,0.5,1,german-core
riechen,real,1,0,0.5,1,german-random
riesig,real,1,0,0.5,1,german-random
Ritter,real,1,0,0.5,1,german-random
Roboter,real,1,0,0.5,1,german-random
Rose,real,1,0,0.5,1,german-random
Sand,real,1,0,0.5,1,german-random
Schaf,real,1,0,0.5,1,german-random
Schatten,real,1,0,0.5,1,german-core
Schiff,real,1,0,0.5,1,german-random
Schildkröte,real,1,0,0.5,1,german-random
schillernd,real,1,0,0.5,1,german-random
schlafen,real,1,0,0.5,1,german-random
Schlange,real,1,0,0.5,1,german-random
schlecht,real,1,0,0.5,1,german-random
Schlüssel,real,1,0,0.5,1,german-core
schmecken,real,1,0,0.5,1,german-random
Schmetterling,real,1,0,0.5,1,german-random
Schneeflocke,real,1,0,0.5,1,german-random
schnell,real,1,0,0.5,1,german-random
schön,real,1,0,0.5,1,german-random
schreiben,real,1,0,0.5,1,german-random
Schule,real,1,0,0.5,1,german-random
schwimmen,real,1,0,0.5,1,german-random
See,real,1,0,0.5,1,german-random
sehen,real,1,0,0.5,1,german-random
singen,real,1,0,0.5,1,german-random
Sonnenblume,real,1,0,0.5,1,german-random
Sonnensystem,real,1,0,0.5,1,german-random
spektakulär,real,1,0,0.5,1,german-random
Spielzeug,real,1,0,0.5,1,german-random
Spinne,real,1,0,0.5,1,german-random
sprechen,real,1,0,0.5,1,german-random
springen,real,1,0,0.5,1,german-random
Stein,real,1,0,0.5,1,german-random
Stern,real,1,0,0.5,1,german-random
Strand,real,1,0,0.5,1,german-random
suchen,real,1,0,0.5,1,german-random
Supermarkt,real,1,0,0.5,1,german-random
Tag,real,1,0,0.5,1,german-core
tanzen,real,1,0,0.5,1,german-random
teilen,real,1,0,0.5,1,german-random
Telefon,real,1,0,0.5,1,german-random
Teleskop,real,1,0,0.5,1,german-random
Tier,real,1,0,0.5,1,german-random
Tiger,real,1,0,0.5,1,german-random
Tisch,real,1,0,0.5,1,german-random
Trampolin,real,1,0,0.5,1,german-core
traurig,real,1,0,0.5,1,german-random
trinken,real,1,0,0.5,1,german-random
Trompete,real,1,0,0.5,1,german-random
Tulpe,real,1,0,0.5,1,german-random
über,real,1,0,0.5,1,german-random
überraschend,real,1,0,0.5,1,german-core
Universum,real,1,0,0.5,1,german-random
Verkehr,real,1,0,0.5,1,german-random
verstecken,real,1,0,0.5,1,german-core
Violine,real,1,0,0.5,1,german-random
Vogel,real,1,0,0.5,1,german-random
vor,real,1,0,0.5,1,german-random
Vulkan,real,1,0,0.5,1,german-random
Wal,real,1,0,0.5,1,german-core
Wald,real,1,0,0.5,1,german-random
warm,real,1,0,0.5,1,german-random
Wasser,real,1,0,0.5,1,german-random
weg,real,1,0,0.5,1,german-random
weinen,real,1,0,0.5,1,german-random
Wind,real,1,0,0.5,1,german-random
winzig,real,1,0,0.5,1,german-random
Wissenschaft,real,1,0,0.5,1,german-random
Woche,real,1,0,0.5,1,german-random
Wohnung,real,1,0,0.5,1,german-random
Wolf,real,1,0,0.5,1,german-random
Wolkenkratzer,real,1,0,0.5,1,german-random
wunderbar,real,1,0,0.5,1,german-random
Zahl,real,1,0,0.5,1,german-random
Zahnarzt,real,1,0,0.5,1,german-random
Zauberstab,real,1,0,0.5,1,german-random
zeichnen,real,1,0,0.5,1,german-random
zeigen,real,1,0,0.5,1,german-random
Zirkus,real,1,0,0.5,1,german-random
Zunge,real,1,0,0.5,1,german-random
zwischen,real,1,0,0.5,1,german-core
ebenhamelrich,pseudo,1,0,0.5,1,german-core
Jume,pseudo,1,0,0.5,1,german-random
aft,pseudo,1,0,0.5,1,german-core
Lumel,pseudo,1,0,0.5,1,german-random
