word,a,b,c,d,corpusId,realpseudo
ablood,1,-0.581,0.5,1,en-validated-v1,pseudo
accustomed,1,2.0193,0.5,1,en-validated-v1,real
advice,1,-1.1461,0.5,1,en-validated-v2,real
advole,1,-0.157,0.5,1,en-validated-v2,pseudo
agreed,1,-1.5328,0.5,1,en-validated-v1,real
ahriered,1,-1.1813,0.5,1,en-validated-v2,pseudo
aits,1,-0.6461,0.5,1,en-validated-v2,pseudo
albust,1,-0.4836,0.5,1,en-validated-v1,pseudo
alk,1,-1.2998,0.5,1,en-validated-v1,pseudo
almost,1,-1.9373,0.5,1,en-validated-v1,real
ancrusinishness,1,-0.6452,0.5,1,en-validated-v1,pseudo
animal,1,-1.8634,0.5,1,en-validated-v1,real
answer,1,-1.8828,0.5,1,en-validated-v1,real
ap,1,-1.1356,0.5,1,en-validated-v1,pseudo
appropriates,1,0.724,0.5,1,en-validated-v1,real
arm,1,-1.21,0.5,1,en-validated-v1,real
arsher,1,-0.4668,0.5,1,en-validated-v1,pseudo
asca,1,-1.7761,0.5,1,en-validated-v1,pseudo
ase,1,-1.2726,0.5,1,en-validated-v1,pseudo
audience,1,0.125,0.5,1,en-validated-v2,real
aunt,1,-0.0977,0.5,1,en-validated-v2,real
baafness,1,-1.1653,0.5,1,en-validated-v1,pseudo
babysitter,1,-1.4039,0.5,1,en-validated-v2,real
back,1,-1.868,0.5,1,en-validated-v1,real
bahysitral,1,-1.3188,0.5,1,en-validated-v2,pseudo
bangs,1,-0.3012,0.5,1,en-validated-v1,real
banny,1,0.1023,0.5,1,en-validated-v1,pseudo
bath,1,-1.6727,0.5,1,en-validated-v2,real
bathroom,1,-2.2976,0.5,1,en-validated-v1,real
beads,1,-0.2609,0.5,1,en-validated-v2,real
bear,1,-1.7523,0.5,1,en-validated-v2,real
bebill,1,-1.1313,0.5,1,en-validated-v2,pseudo
becge,1,-1.3453,0.5,1,en-validated-v2,pseudo
become,1,-2.0951,0.5,1,en-validated-v1,real
beeltisul,1,-1.0042,0.5,1,en-validated-v1,pseudo
begin,1,-1.769,0.5,1,en-validated-v1,real
