,realword,pseudoword
0,owl,orm
1,kitchen,kenchen
2,garage,gasand
3,stick,stins
4,every,ertby
5,join,joze
6,cover,rofvr
7,trash,trank
8,train,trage
9,sandbox,sashbex
10,bicycle,bimygra
11,since,rince
12,game,gade
13,bowl,borm
14,machine,machent
15,were,dere
16,effect,effake
17,egg,erv
18,claim,clawd
19,sure,rure
20,camera,mitera
21,us,uy
22,yucky,kusly
23,tax,rax
24,shopping,chupping
25,firetruck,firethecg
26,put,lut
27,component,cotcenent
28,sprinkler,splankler
29,slide,spige
30,boy,bok
31,bedroom,bupromm
32,sweater,sweaner
33,account,acceine
34,clap,brap
35,not,nat
36,shoe,shie
37,stay,stak
38,hen,hin
39,police,polyll
40,hair,haiw
41,beads,boods
42,jar,jor
43,dump,dimp
44,quiet,fliel
45,they,quey
46,force,foits
47,belly,cully
48,child,chird
49,toast,tiest
50,duck,dack
51,chips,crips
52,station,staroan
53,drink,drine
54,expand,elsand
55,less,lelt
56,bee,boe
57,start,starz
58,doctor,puctor
59,fall,fars
60,package,paekaga
61,ride,rimp
62,cry,cre
63,plate,swate
64,potato,samato
65,owner,urner
66,pet,ped
67,roast,reast
68,food,fied
69,purple,perste
70,bath,baff
71,finish,lanish
72,patient,pateesh
73,recipe,regiva
74,case,casi
75,pool,poul
76,clean,cleap
77,would,wourn
78,house,houle
79,fix,fif
80,buy,buk
81,mower,mumer
82,eye,eys
83,lips,mips
84,that,thet
85,touch,teech
86,button,bullon
87,jello,jinto
88,poor,poom
89,peanut,reaput
90,donut,doifs
91,country,coustly
92,hard,hawn
93,keys,kees
94,drive,blive
95,lamb,larl
96,babysitter,bahysitral
97,catch,camed
98,shower,shumer
99,flower,flimur
100,nurse,nunge
101,spoon,spoop
102,drawer,druper
103,tear,teer
104,slipper,drapper
105,sad,svd
106,vitamins,witasons
107,advice,advole
108,beside,bebill
109,show,shob
110,blow,drow
111,under,urmer
112,mop,mip
113,drop,wlop
114,aunt,aits
115,carry,canty
116,audience,ahriered
117,focus,fonos
118,swing,swint
119,which,whith
120,stone,stobs
121,penny,pundy
122,snack,snock
123,hamburger,lampupser
124,delivery,memitory
125,tickle,lockle
126,out,oot
127,crayon,bragon
128,coat,roat
129,locate,tocard
130,stairs,staits
131,cute,cuse
132,boat,buit
133,this,thas
134,sleep,fleep
135,walk,wask
136,those,thoke
137,foot,foat
138,farm,fage
139,key,kek
140,grandmother,grackroiler
141,grapes,grarts
142,sandwich,sandwrsh
143,downtown,darttown
144,social,soveal
145,why,scy
146,goose,gouse
147,closet,pluset
148,your,youx
149,central,censtel
150,like,loke
151,explore,extrord
152,draw,blaw
153,zebra,zeclo
154,tricycle,sticygra
155,nice,nilt
156,push,pung
157,bench,becge
158,snow,whow
159,build,bield
160,legal,lefel
161,bed,bep
162,empty,erery
163,person,purbon
164,cook,coak
165,next,newd
166,strength,stressrs
167,each,eaks
168,washing,ganding
169,three,squee
170,tomorrow,tocarrog
171,throw,scrow
172,slid,slod
173,baby,cany
174,slightly,slatchly
175,scissors,plissars
176,glass,wrass
177,dangle,pingle
178,top,rop
179,turn,rurn
180,tights,timmed
181,pick,pids
182,knife,knafe
183,medicine,puticine
184,clock,grock
185,awake,afuke
186,toe,tou
187,porch,poyed
188,popsicle,peldicle
189,water,galer
190,grandfather,grackhatrer
191,purse,punge
192,score,scogs
193,bear,bour
194,deer,ueer
195,several,pileral
196,oven,uden
197,last,larx
198,scared,scavec
199,wolf,woir
