word,a,b,c,d,corpusId,realpseudo
all,1,0,0.5,1,en-corpusNew-easy,real
arp,1,0,0.5,1,en-corpusNew-easy,pseudo
ask,1,0,0.5,1,en-corpusNew-easy,real
baby,1,0,0.5,1,en-corpusNew-easy,real
beas,1,0,0.5,1,en-corpusNew-easy,pseudo
because,1,0,0.5,1,en-corpusNew-easy,real
bed,1,0,0.5,1,en-corpusNew-easy,real
behind,1,0,0.5,1,en-corpusNew-easy,real
beir,1,0,0.5,1,en-corpusNew-easy,pseudo
bep,1,0,0.5,1,en-corpusNew-easy,pseudo
big,1,0,0.5,1,en-corpusNew-easy,real
bir,1,0,0.5,1,en-corpusNew-easy,pseudo
bird,1,0,0.5,1,en-corpusNew-easy,real
blue,1,0,0.5,1,en-corpusNew-easy,real
boc,1,0,0.5,1,en-corpusNew-easy,pseudo
bok,1,0,0.5,1,en-corpusNew-easy,pseudo
book,1,0,0.5,1,en-corpusNew-easy,real
box,1,0,0.5,1,en-corpusNew-easy,real
boy,1,0,0.5,1,en-corpusNew-easy,real
bunny,1,0,0.5,1,en-corpusNew-easy,real
cales,1,0,0.5,1,en-corpusNew-easy,pseudo
capy,1,0,0.5,1,en-corpusNew-easy,pseudo
catch,1,0,0.5,1,en-corpusNew-easy,real
chrodgmas,1,0,0.5,1,en-corpusNew-easy,pseudo
coff,1,0,0.5,1,en-corpusNew-easy,pseudo
coom,1,0,0.5,1,en-corpusNew-easy,pseudo
cound,1,0,0.5,1,en-corpusNew-easy,pseudo
dard,1,0,0.5,1,en-corpusNew-easy,pseudo
dark,1,0,0.5,1,en-corpusNew-easy,real
day,1,0,0.5,1,en-corpusNew-easy,real
dier,1,0,0.5,1,en-corpusNew-easy,pseudo
door,1,0,0.5,1,en-corpusNew-easy,real
dorn,1,0,0.5,1,en-corpusNew-easy,pseudo
ead,1,0,0.5,1,en-corpusNew-easy,pseudo
eaks,1,0,0.5,1,en-corpusNew-easy,pseudo
eat,1,0,0.5,1,en-corpusNew-easy,real
ecd,1,0,0.5,1,en-corpusNew-easy,pseudo
end,1,0,0.5,1,en-corpusNew-easy,real
ent,1,0,0.5,1,en-corpusNew-easy,pseudo
ethlyots,1,0,0.5,1,en-corpusNew-easy,pseudo
everything,1,0,0.5,1,en-corpusNew-easy,real
face,1,0,0.5,1,en-corpusNew-easy,real
far,1,0,0.5,1,en-corpusNew-easy,real
feir,1,0,0.5,1,en-corpusNew-easy,pseudo
fet,1,0,0.5,1,en-corpusNew-easy,pseudo
fice,1,0,0.5,1,en-corpusNew-easy,pseudo
firrs,1,0,0.5,1,en-corpusNew-easy,pseudo
first,1,0,0.5,1,en-corpusNew-easy,real
fli,1,0,0.5,1,en-corpusNew-easy,pseudo
fly,1,0,0.5,1,en-corpusNew-easy,real
fom,1,0,0.5,1,en-corpusNew-easy,pseudo
food,1,0,0.5,1,en-corpusNew-easy,real
for,1,0,0.5,1,en-corpusNew-easy,real
four,1,0,0.5,1,en-corpusNew-easy,real
frere,1,0,0.5,1,en-corpusNew-easy,pseudo
frieks,1,0,0.5,1,en-corpusNew-easy,pseudo
friend,1,0,0.5,1,en-corpusNew-easy,real
full,1,0,0.5,1,en-corpusNew-easy,real
fure,1,0,0.5,1,en-corpusNew-easy,pseudo
galer,1,0,0.5,1,en-corpusNew-easy,pseudo
get,1,0,0.5,1,en-corpusNew-easy,real
gorl,1,0,0.5,1,en-corpusNew-easy,pseudo
gove,1,0,0.5,1,en-corpusNew-easy,pseudo
grob,1,0,0.5,1,en-corpusNew-easy,pseudo
grow,1,0,0.5,1,en-corpusNew-easy,real
habs,1,0,0.5,1,en-corpusNew-easy,pseudo
hacs,1,0,0.5,1,en-corpusNew-easy,pseudo
haid,1,0,0.5,1,en-corpusNew-easy,pseudo
hair,1,0,0.5,1,en-corpusNew-easy,real
happy,1,0,0.5,1,en-corpusNew-easy,real
hat,1,0,0.5,1,en-corpusNew-easy,real
head,1,0,0.5,1,en-corpusNew-easy,real
hean,1,0,0.5,1,en-corpusNew-easy,pseudo
hear,1,0,0.5,1,en-corpusNew-easy,real
hig,1,0,0.5,1,en-corpusNew-easy,pseudo
high,1,0,0.5,1,en-corpusNew-easy,real
hisk,1,0,0.5,1,en-corpusNew-easy,pseudo
hode,1,0,0.5,1,en-corpusNew-easy,pseudo
home,1,0,0.5,1,en-corpusNew-easy,real
hos,1,0,0.5,1,en-corpusNew-easy,pseudo
house,1,0,0.5,1,en-corpusNew-easy,real
hure,1,0,0.5,1,en-corpusNew-easy,pseudo
keep,1,0,0.5,1,en-corpusNew-easy,real
kids,1,0,0.5,1,en-corpusNew-easy,real
know,1,0,0.5,1,en-corpusNew-easy,real
lall,1,0,0.5,1,en-corpusNew-easy,pseudo
last,1,0,0.5,1,en-corpusNew-easy,real
len,1,0,0.5,1,en-corpusNew-easy,pseudo
let,1,0,0.5,1,en-corpusNew-easy,real
lidge,1,0,0.5,1,en-corpusNew-easy,pseudo
like,1,0,0.5,1,en-corpusNew-easy,real
little,1,0,0.5,1,en-corpusNew-easy,real
lond,1,0,0.5,1,en-corpusNew-easy,pseudo
magse,1,0,0.5,1,en-corpusNew-easy,pseudo
make,1,0,0.5,1,en-corpusNew-easy,real
many,1,0,0.5,1,en-corpusNew-easy,real
mear,1,0,0.5,1,en-corpusNew-easy,pseudo
mouse,1,0,0.5,1,en-corpusNew-easy,real
much,1,0,0.5,1,en-corpusNew-easy,real
mume,1,0,0.5,1,en-corpusNew-easy,pseudo
mut,1,0,0.5,1,en-corpusNew-easy,pseudo
muth,1,0,0.5,1,en-corpusNew-easy,pseudo
nead,1,0,0.5,1,en-corpusNew-easy,pseudo
next,1,0,0.5,1,en-corpusNew-easy,real
nice,1,0,0.5,1,en-corpusNew-easy,real
nomp,1,0,0.5,1,en-corpusNew-easy,pseudo
nond,1,0,0.5,1,en-corpusNew-easy,pseudo
nose,1,0,0.5,1,en-corpusNew-easy,real
not,1,0,0.5,1,en-corpusNew-easy,real
odge,1,0,0.5,1,en-corpusNew-easy,pseudo
off,1,0,0.5,1,en-corpusNew-easy,real
ome,1,0,0.5,1,en-corpusNew-easy,pseudo
one,1,0,0.5,1,en-corpusNew-easy,real
ork,1,0,0.5,1,en-corpusNew-easy,pseudo
orks,1,0,0.5,1,en-corpusNew-easy,pseudo
our,1,0,0.5,1,en-corpusNew-easy,real
out,1,0,0.5,1,en-corpusNew-easy,real
oys,1,0,0.5,1,en-corpusNew-easy,pseudo
pekste,1,0,0.5,1,en-corpusNew-easy,pseudo
pig,1,0,0.5,1,en-corpusNew-easy,real
plape,1,0,0.5,1,en-corpusNew-easy,pseudo
promy,1,0,0.5,1,en-corpusNew-easy,pseudo
rabbit,1,0,0.5,1,en-corpusNew-easy,real
read,1,0,0.5,1,en-corpusNew-easy,real
right,1,0,0.5,1,en-corpusNew-easy,real
rirms,1,0,0.5,1,en-corpusNew-easy,pseudo
room,1,0,0.5,1,en-corpusNew-easy,real
run,1,0,0.5,1,en-corpusNew-easy,real
rup,1,0,0.5,1,en-corpusNew-easy,pseudo
sad,1,0,0.5,1,en-corpusNew-easy,real
say,1,0,0.5,1,en-corpusNew-easy,real
scay,1,0,0.5,1,en-corpusNew-easy,pseudo
school,1,0,0.5,1,en-corpusNew-easy,real
scom,1,0,0.5,1,en-corpusNew-easy,pseudo
side,1,0,0.5,1,en-corpusNew-easy,real
sime,1,0,0.5,1,en-corpusNew-easy,pseudo
sirning,1,0,0.5,1,en-corpusNew-easy,pseudo
sither,1,0,0.5,1,en-corpusNew-easy,pseudo
ska,1,0,0.5,1,en-corpusNew-easy,pseudo
ske,1,0,0.5,1,en-corpusNew-easy,pseudo
sku,1,0,0.5,1,en-corpusNew-easy,pseudo
sky,1,0,0.5,1,en-corpusNew-easy,real
sleep,1,0,0.5,1,en-corpusNew-easy,real
small,1,0,0.5,1,en-corpusNew-easy,real
smile,1,0,0.5,1,en-corpusNew-easy,real
sning,1,0,0.5,1,en-corpusNew-easy,pseudo
snink,1,0,0.5,1,en-corpusNew-easy,pseudo
snis,1,0,0.5,1,en-corpusNew-easy,pseudo
snom,1,0,0.5,1,en-corpusNew-easy,pseudo
snow,1,0,0.5,1,en-corpusNew-easy,real
soicore,1,0,0.5,1,en-corpusNew-easy,pseudo
soleore,1,0,0.5,1,en-corpusNew-easy,pseudo
someone,1,0,0.5,1,en-corpusNew-easy,real
soon,1,0,0.5,1,en-corpusNew-easy,real
soop,1,0,0.5,1,en-corpusNew-easy,pseudo
sorgore,1,0,0.5,1,en-corpusNew-easy,pseudo
sound,1,0,0.5,1,en-corpusNew-easy,real
spow,1,0,0.5,1,en-corpusNew-easy,pseudo
stup,1,0,0.5,1,en-corpusNew-easy,pseudo
sune,1,0,0.5,1,en-corpusNew-easy,pseudo
sure,1,0,0.5,1,en-corpusNew-easy,real
sweet,1,0,0.5,1,en-corpusNew-easy,real
tafrer,1,0,0.5,1,en-corpusNew-easy,pseudo
tagner,1,0,0.5,1,en-corpusNew-easy,pseudo
tell,1,0,0.5,1,en-corpusNew-easy,real
tep,1,0,0.5,1,en-corpusNew-easy,pseudo
thing,1,0,0.5,1,en-corpusNew-easy,real
this,1,0,0.5,1,en-corpusNew-easy,real
thist,1,0,0.5,1,en-corpusNew-easy,pseudo
three,1,0,0.5,1,en-corpusNew-easy,real
