target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId
A,E,V,L,aLetter,https://storage.googleapis.com/roar-ak/it/shared/aLetter.mp3,1,0,"0,5",1,letterNameUpper
B,P,R,I,bLetter,https://storage.googleapis.com/roar-ak/it/shared/bLetter.mp3,1,0,"0,5",1,letterNameUpper
C,Q,G,R,cLetter,https://storage.googleapis.com/roar-ak/it/shared/cLetter.mp3,1,0,"0,5",1,letterNameUpper
D,T,O,S,dLetter,https://storage.googleapis.com/roar-ak/it/shared/dLetter.mp3,1,0,"0,5",1,letterNameUpper
E,I,F,Z,eLetter,https://storage.googleapis.com/roar-ak/it/shared/eLetter.mp3,1,0,"0,5",1,letterNameUpper
F,V,T,L,fLetter,https://storage.googleapis.com/roar-ak/it/shared/fLetter.mp3,1,0,"0,5",1,letterNameUpper
G,D,C,U,gLetter,https://storage.googleapis.com/roar-ak/it/shared/gLetter.mp3,1,0,"0,5",1,letterNameUpper
H,A,N,P,hLetter,https://storage.googleapis.com/roar-ak/it/shared/hLetter.mp3,1,0,"0,5",1,letterNameUpper
I,E,L,Z,iLetter,https://storage.googleapis.com/roar-ak/it/shared/iLetter.mp3,1,0,"0,5",1,letterNameUpper
L,M,T,A,lLetter,https://storage.googleapis.com/roar-ak/it/shared/lLetter.mp3,1,0,"0,5",1,letterNameUpper
M,N,H,P,mLetter,https://storage.googleapis.com/roar-ak/it/shared/mLetter.mp3,1,0,"0,5",1,letterNameUpper
N,M,H,G,nLetter,https://storage.googleapis.com/roar-ak/it/shared/nLetter.mp3,1,0,"0,5",1,letterNameUpper
O,U,D,G,oLetter,https://storage.googleapis.com/roar-ak/it/shared/oLetter.mp3,1,0,"0,5",1,letterNameUpper
P,B,F,C,pLetter,https://storage.googleapis.com/roar-ak/it/shared/pLetter.mp3,1,0,"0,5",1,letterNameUpper
Q,C,O,M,qLetter,https://storage.googleapis.com/roar-ak/it/shared/qLetter.mp3,1,0,"0,5",1,letterNameUpper
R,S,B,E,rLetter,https://storage.googleapis.com/roar-ak/it/shared/rLetter.mp3,1,0,"0,5",1,letterNameUpper
S,R,Z,Q,sLetter,https://storage.googleapis.com/roar-ak/it/shared/sLetter.mp3,1,0,"0,5",1,letterNameUpper
T,D,I,H,tLetter,https://storage.googleapis.com/roar-ak/it/shared/tLetter.mp3,1,0,"0,5",1,letterNameUpper
U,O,V,B,uLetter,https://storage.googleapis.com/roar-ak/it/shared/uLetter.mp3,1,0,"0,5",1,letterNameUpper
V,F,U,Q,vLetter,https://storage.googleapis.com/roar-ak/it/shared/vLetter.mp3,1,0,"0,5",1,letterNameUpper
Z,S,N,A,zLetter,https://storage.googleapis.com/roar-ak/it/shared/zLetter.mp3,1,0,"0,5",1,letterNameUpper
