target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId
a,e,d,l,aPhoneme,https://storage.googleapis.com/roar-ak/it/shared/aPhoneme.mp3,1,0,"0,25",1,letterPhoneme
e,i,o,r,ePhoneme,https://storage.googleapis.com/roar-ak/it/shared/ePhoneme.mp3,1,0,"0,25",1,letterPhoneme
i,e,l,h,iPhoneme,https://storage.googleapis.com/roar-ak/it/shared/iPhoneme.mp3,1,0,"0,25",1,letterPhoneme
o,u,q,s,oPhoneme,https://storage.googleapis.com/roar-ak/it/shared/oPhoneme.mp3,1,0,"0,25",1,letterPhoneme
u,o,v,g,uPhoneme,https://storage.googleapis.com/roar-ak/it/shared/uPhoneme.mp3,1,0,"0,25",1,letterPhoneme
e,a,c,g,eOpenPhoneme,https://storage.googleapis.com/roar-ak/it/shared/eOpenPhoneme.mp3,1,0,"0,25",1,letterPhoneme
o,d,l,i,oOpenPhoneme,https://storage.googleapis.com/roar-ak/it/shared/oOpenPhoneme.mp3,1,0,"0,25",1,letterPhoneme
b,f,i,d,bPhoneme,https://storage.googleapis.com/roar-ak/it/shared/bPhoneme.mp3,1,0,"0,25",1,letterPhoneme
d,b,t,u,dPhoneme,https://storage.googleapis.com/roar-ak/it/shared/dPhoneme.mp3,1,0,"0,25",1,letterPhoneme
f,v,t,e,fPhoneme,https://storage.googleapis.com/roar-ak/it/shared/fPhoneme.mp3,1,0,"0,25",1,letterPhoneme
l,m,i,o,lPhoneme,https://storage.googleapis.com/roar-ak/it/shared/lPhoneme.mp3,1,0,"0,25",1,letterPhoneme
m,l,w,p,mPhoneme,https://storage.googleapis.com/roar-ak/it/shared/mPhoneme.mp3,1,0,"0,25",1,letterPhoneme
n,m,h,a,nPhoneme,https://storage.googleapis.com/roar-ak/it/shared/nPhoneme.mp3,1,0,"0,25",1,letterPhoneme
p,b,g,r,pPhoneme,https://storage.googleapis.com/roar-ak/it/shared/pPhoneme.mp3,1,0,"0,25",1,letterPhoneme
r,v,i,e,rPhoneme,https://storage.googleapis.com/roar-ak/it/shared/rPhoneme.mp3,1,0,"0,25",1,letterPhoneme
s,r,z,u,sSordaPhoneme,https://storage.googleapis.com/roar-ak/it/shared/sSordaPhoneme.mp3,1,0,"0,25",1,letterPhoneme
s,t,c,n,sSonoraPhoneme,https://storage.googleapis.com/roar-ak/it/shared/sSonoraPhoneme.mp3,1,0,"0,25",1,letterPhoneme
t,d,f,i,tPhoneme,https://storage.googleapis.com/roar-ak/it/shared/tPhoneme.mp3,1,0,"0,25",1,letterPhoneme
v,f,u,g,vPhoneme,https://storage.googleapis.com/roar-ak/it/shared/vPhoneme.mp3,1,0,"0,25",1,letterPhoneme
z,d,a,r,zSordaPhoneme,https://storage.googleapis.com/roar-ak/it/shared/zSordaPhoneme.mp3,1,0,"0,25",1,letterPhoneme
z,s,t,p,zSonoraPhoneme,https://storage.googleapis.com/roar-ak/it/shared/zSonoraPhoneme.mp3,1,0,"0,25",1,letterPhoneme
gn,gl,ga,ch,gnPhoneme,https://storage.googleapis.com/roar-ak/it/shared/gnPhoneme.mp3,1,0,"0,25",1,letterPhoneme
gl,gn,gi,ce,glPhoneme,https://storage.googleapis.com/roar-ak/it/shared/glPhoneme.mp3,1,0,"0,25",1,letterPhoneme
sci,sce,ci,qu,sciPhoneme,https://storage.googleapis.com/roar-ak/it/shared/sciPhoneme.mp3,1,0,"0,25",1,letterPhoneme
sce,sci,ge,go,scePhoneme,https://storage.googleapis.com/roar-ak/it/shared/scePhoneme.mp3,1,0,"0,25",1,letterPhoneme
ca,ga,ch,sci,caPhoneme,https://storage.googleapis.com/roar-ak/it/shared/caPhoneme.mp3,1,0,"0,25",1,letterPhoneme
co,go,cu,gh,coPhoneme,https://storage.googleapis.com/roar-ak/it/shared/coPhoneme.mp3,1,0,"0,25",1,letterPhoneme
cu,gu,ci,gn,cuPhoneme,https://storage.googleapis.com/roar-ak/it/shared/cuPhoneme.mp3,1,0,"0,25",1,letterPhoneme
chi,ghi,sci,go,chiPhoneme,https://storage.googleapis.com/roar-ak/it/shared/chiPhoneme.mp3,1,0,"0,25",1,letterPhoneme
che,ghe,sce,gl,chePhoneme,https://storage.googleapis.com/roar-ak/it/shared/chePhoneme.mp3,1,0,"0,25",1,letterPhoneme
ci,gi,ce,gu,ciPhoneme,https://storage.googleapis.com/roar-ak/it/shared/ciPhoneme.mp3,1,0,"0,25",1,letterPhoneme
ce,ci,sce,qu,cePhoneme,https://storage.googleapis.com/roar-ak/it/shared/cePhoneme.mp3,1,0,"0,25",1,letterPhoneme
ga,ca,ghe,co,gaPhoneme,https://storage.googleapis.com/roar-ak/it/shared/gaPhoneme.mp3,1,0,"0,25",1,letterPhoneme
go,co,gu,ci,goPhoneme,https://storage.googleapis.com/roar-ak/it/shared/goPhoneme.mp3,1,0,"0,25",1,letterPhoneme
gu,qu,ga,sce,guPhoneme,https://storage.googleapis.com/roar-ak/it/shared/guPhoneme.mp3,1,0,"0,25",1,letterPhoneme
ghi,chi,gi,ca,ghiPhoneme,https://storage.googleapis.com/roar-ak/it/shared/ghiPhoneme.mp3,1,0,"0,25",1,letterPhoneme
ghe,che,ge,cu,ghePhoneme,https://storage.googleapis.com/roar-ak/it/shared/ghePhoneme.mp3,1,0,"0,25",1,letterPhoneme
gi,ci,gl,sce,giPhoneme,https://storage.googleapis.com/roar-ak/it/shared/giPhoneme.mp3,1,0,"0,25",1,letterPhoneme
ge,gi,ga,chi,gePhoneme,https://storage.googleapis.com/roar-ak/it/shared/gePhoneme.mp3,1,0,"0,25",1,letterPhoneme
qu,gu,gl,ce,quPhoneme,https://storage.googleapis.com/roar-ak/it/shared/quPhoneme.mp3,1,0,"0,25",1,letterPhoneme
