label,screenStyle,imageName,imageUrl,imageSpeechBubble,imageAlt,audioName,audioUrl,audioLengthMs,header1,text1
phonicsWelcome,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,phonicsWelcome,https://storage.googleapis.com/roar-ak/en/shared/phonicsWelcome.mp3,3000,Welcome to ROAR-Phonics! ,
phonicsYouWillHear,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,phonicsYouWillHear,https://storage.googleapis.com/roar-ak/en/shared/phonicsYouWillHear.mp3,3000,,"In this activity, you will hear a made-up word."
phonicsYourJob,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,phonicsYourJob,https://storage.googleapis.com/roar-ak/en/shared/phonicsYourJob.mp3,3000,,Your job is to choose the best spelling.
phonicsForExample,captionBelowImage,phonicsChoices,https://storage.googleapis.com/roar-ak/en/shared/phonicsChoices.png,stickmanSpeechBubble,pointingLionAge12,phonicsForExample,https://storage.googleapis.com/roar-ak/en/shared/phonicsForExample.mp3,3000,Listen!,"For example, when you hear:"
phonicsSpellNop,captionBelowImage,phonicsChoicesHighlight,https://storage.googleapis.com/roar-ak/en/shared/phonicsChoicesHighlight.png,stickmanSpeechBubble,pointingLionAge12,phonicsSpellNop,https://storage.googleapis.com/roar-ak/en/shared/phonicsSpellNop.mp3,3000,,"It could be spelled ""nop""."
phonicsSpeaker,captionBelowImage,speakerButton,,stickmanSpeechBubble,Speaker press,phonicsSpeaker,https://storage.googleapis.com/roar-ak/en/shared/phonicsSpeaker.mp3,3000,,You can press the speaker button to hear the word again.
phonicsPractice,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,phonicsPractice,https://storage.googleapis.com/roar-ak/en/shared/phonicsPractice.mp3,5000,Practice on the next 2 words.,Remember to choose the best spelling for the made-up word.
phonicsYoureReady,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,phonicsYoureReady,https://storage.googleapis.com/roar-ak/en/shared/phonicsYoureReady.mp3,5000,You're ready to begin. ,Remember to listen carefully and choose the best spelling.
break1,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,greatJob,https://storage.googleapis.com/roar-ak/en/shared/greatJob.mp3,3000,,Great job!
break2,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,halfWay,https://storage.googleapis.com/roar-ak/en/shared/halfWay.mp3,3000,,You're more than halfway done.
break3,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,keepUpGood,https://storage.googleapis.com/roar-ak/en/shared/keepUpGood.mp3,3000,,Keep up the good work!
allDone,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,allDone,https://storage.googleapis.com/roar-ak/en/shared/allDone.mp3,5000,You're all done!,Press the arrow to finish.
thatsRight,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,thatsRight,https://storage.googleapis.com/roar-ak/es/shared/thatsRight.mp3,3000,That's right!,
tryAgain,speechBubble,pointingLionAge12,,stickmanSpeechBubble,pointingLionAge12,tryAgain,https://storage.googleapis.com/roar-ak/es/shared/tryAgain.mp3,3000,Try Again.,
