,target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source
0,zoss,zab,woss,teg,zoss,https://storage.googleapis.com/roar-ak/en/shared/zoss.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
1,meff,mav,keff,tib,meff,https://storage.googleapis.com/roar-ak/en/shared/meff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
2,jad,jub,vad,dax,jad,https://storage.googleapis.com/roar-ak/en/shared/jad.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
3,kam,kug,zam,wug,kam,https://storage.googleapis.com/roar-ak/en/shared/kam.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
4,rozz,ren,jozz,vuff,rozz,https://storage.googleapis.com/roar-ak/en/shared/rozz.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
5,vot,vap,quot,dix,vot,https://storage.googleapis.com/roar-ak/en/shared/vot.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
6,cuzz,caff,suzz,kizz,cuzz,https://storage.googleapis.com/roar-ak/en/shared/cuzz.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
7,zuff,zir,wuff,huzz,zuff,https://storage.googleapis.com/roar-ak/en/shared/zuff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
8,yass,yim,kass,quezz,yass,https://storage.googleapis.com/roar-ak/en/shared/yass.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
9,niv,noss,biv,kazz,niv,https://storage.googleapis.com/roar-ak/en/shared/niv.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
10,zock,zep,pok,rud,zock,https://storage.googleapis.com/roar-ak/en/shared/zock.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
11,juzz,jin,duzz,kov,juzz,https://storage.googleapis.com/roar-ak/en/shared/juzz.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
12,yog,yup,zog,sut,yog,https://storage.googleapis.com/roar-ak/en/shared/yog.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
13,nex,niss,bex,tazz,nex,https://storage.googleapis.com/roar-ak/en/shared/nex.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
14,wam,wozz,vam,lav,wam,https://storage.googleapis.com/roar-ak/en/shared/wam.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
15,bix,boff,tix,yizz,bix,https://storage.googleapis.com/roar-ak/en/shared/bix.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
16,tezz,tob,jezz,dep,tezz,https://storage.googleapis.com/roar-ak/en/shared/tezz.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
17,naff,num,paff,zad,naff,https://storage.googleapis.com/roar-ak/en/shared/naff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
18,guck,gazz,nuck,zut,guck,https://storage.googleapis.com/roar-ak/en/shared/guck.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
19,zit,zuck,vit,lat,zit,https://storage.googleapis.com/roar-ak/en/shared/zit.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
20,pham,pholl,blam,cliss,pham,https://storage.googleapis.com/roar-ak/en/shared/pham.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
