target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId
a,u,w,m,aLetter,https://storage.googleapis.com/roar-ak/en/shared/aLetter.mp3,1,0,0.5,1,letterNameLower
b,o,l,h,bLetter,https://storage.googleapis.com/roar-ak/en/shared/bLetter.mp3,1,0,0.5,1,letterNameLower
c,u,r,l,cLetter,https://storage.googleapis.com/roar-ak/en/shared/cLetter.mp3,1,0,0.5,1,letterNameLower
d,a,j,f,dLetter,https://storage.googleapis.com/roar-ak/en/shared/dLetter.mp3,1,0,0.5,1,letterNameLower
e,u,d,z,eLetter,https://storage.googleapis.com/roar-ak/en/shared/eLetter.mp3,1,0,0.5,1,letterNameLower
f,o,p,q,fLetter,https://storage.googleapis.com/roar-ak/en/shared/fLetter.mp3,1,0,0.5,1,letterNameLower
g,e,x,h,gLetter,https://storage.googleapis.com/roar-ak/en/shared/gLetter.mp3,1,0,0.5,1,letterNameLower
h,u,g,w,hLetter,https://storage.googleapis.com/roar-ak/en/shared/hLetter.mp3,1,0,0.5,1,letterNameLower
i,u,t,b,iLetter,https://storage.googleapis.com/roar-ak/en/shared/iLetter.mp3,1,0,0.5,1,letterNameLower
j,a,v,h,jLetter,https://storage.googleapis.com/roar-ak/en/shared/jLetter.mp3,1,0,0.5,1,letterNameLower
k,i,x,c,kLetter,https://storage.googleapis.com/roar-ak/en/shared/kLetter.mp3,1,0,0.5,1,letterNameLower
l,i,m,x,lLetter,https://storage.googleapis.com/roar-ak/en/shared/lLetter.mp3,1,0,0.5,1,letterNameLower
m,a,x,k,mLetter,https://storage.googleapis.com/roar-ak/en/shared/mLetter.mp3,1,0,0.5,1,letterNameLower
n,a,f,r,nLetter,https://storage.googleapis.com/roar-ak/en/shared/nLetter.mp3,1,0,0.5,1,letterNameLower
o,i,j,g,oLetter,https://storage.googleapis.com/roar-ak/en/shared/oLetter.mp3,1,0,0.5,1,letterNameLower
p,a,y,r,pLetter,https://storage.googleapis.com/roar-ak/en/shared/pLetter.mp3,1,0,0.5,1,letterNameLower
q,a,j,l,qLetter,https://storage.googleapis.com/roar-ak/en/shared/qLetter.mp3,1,0,0.5,1,letterNameLower
r,e,w,p,rLetter,https://storage.googleapis.com/roar-ak/en/shared/rLetter.mp3,1,0,0.5,1,letterNameLower
s,o,q,z,sLetter,https://storage.googleapis.com/roar-ak/en/shared/sLetter.mp3,1,0,0.5,1,letterNameLower
t,a,c,v,tLetter,https://storage.googleapis.com/roar-ak/en/shared/tLetter.mp3,1,0,0.5,1,letterNameLower
u,i,p,t,uLetter,https://storage.googleapis.com/roar-ak/en/shared/uLetter.mp3,1,0,0.5,1,letterNameLower
v,i,n,k,vLetter,https://storage.googleapis.com/roar-ak/en/shared/vLetter.mp3,1,0,0.5,1,letterNameLower
w,a,s,n,wLetter,https://storage.googleapis.com/roar-ak/en/shared/wLetter.mp3,1,0,0.5,1,letterNameLower
x,u,p,c,xLetter,https://storage.googleapis.com/roar-ak/en/shared/xLetter.mp3,1,0,0.5,1,letterNameLower
y,a,k,d,yLetter,https://storage.googleapis.com/roar-ak/en/shared/yLetter.mp3,1,0,0.5,1,letterNameLower
z,i,t,h,zLetter,https://storage.googleapis.com/roar-ak/en/shared/zLetter.mp3,1,0,0.5,1,letterNameLower
