"","target","distractor1","distractor2","distractor3","audioFile","audioUrl","corpusId","composite.a","composite.b","composite.c","composite.d","letterNameUpper.a","letterNameUpper.b","letterNameUpper.c","letterNameUpper.d","letterNameLower.a","letterNameLower.b","letterNameLower.c","letterNameLower.d","letterPhoneme.a","letterPhoneme.b","letterPhoneme.c","letterPhoneme.d","letterNamePractice.a","letterNamePractice.b","letterNamePractice.c","letterNamePractice.d","letterPhonemePractice.a","letterPhonemePractice.b","letterPhonemePractice.c","letterPhonemePractice.d","composite_foundational.a","composite_foundational.b","composite_foundational.c","composite_foundational.d"
"1","t","d","r","f","tLetter","https://storage.googleapis.com/roar-ak/en/shared/tLetter.mp3","letterNamePractice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.70649604684216,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA
"2","o","g","p","j","oLetter","https://storage.googleapis.com/roar-ak/en/shared/oLetter.mp3","letterNamePractice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.34467311726424,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA
"3","a","u","w","m","aLetter","https://storage.googleapis.com/roar-ak/en/shared/aLetter.mp3","letterNameLower",1,-2.9931296345528,0.25,1,NA,NA,NA,NA,1,-2.9931296345528,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.41654372522745,0.25,1
"4","b","o","l","h","bLetter","https://storage.googleapis.com/roar-ak/en/shared/bLetter.mp3","letterNameLower",1,-2.60514221797918,0.25,1,NA,NA,NA,NA,1,-2.60514221797918,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.13801045363573,0.25,1
"5","c","u","r","l","cLetter","https://storage.googleapis.com/roar-ak/en/shared/cLetter.mp3","letterNameLower",1,-2.84396167488376,0.25,1,NA,NA,NA,NA,1,-2.84396167488376,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.3398555657313,0.25,1
"6","d","a","j","f","dLetter","https://storage.googleapis.com/roar-ak/en/shared/dLetter.mp3","letterNameLower",1,-2.53455780011214,0.25,1,NA,NA,NA,NA,1,-2.53455780011214,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.91807961740927,0.25,1
"7","e","u","d","z","eLetter","https://storage.googleapis.com/roar-ak/en/shared/eLetter.mp3","letterNameLower",1,-2.06856529937802,0.25,1,NA,NA,NA,NA,1,-2.06856529937802,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.47055667565515,0.25,1
"8","f","o","p","q","fLetter","https://storage.googleapis.com/roar-ak/en/shared/fLetter.mp3","letterNameLower",1,-2.56728119147247,0.25,1,NA,NA,NA,NA,1,-2.56728119147247,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.06625278373503,0.25,1
"9","g","e","x","h","gLetter","https://storage.googleapis.com/roar-ak/en/shared/gLetter.mp3","letterNameLower",1,-2.10818112712959,0.25,1,NA,NA,NA,NA,1,-2.10818112712959,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.47619755688035,0.25,1
"10","h","u","g","w","hLetter","https://storage.googleapis.com/roar-ak/en/shared/hLetter.mp3","letterNameLower",1,-2.19511664633396,0.25,1,NA,NA,NA,NA,1,-2.19511664633396,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.64484399354764,0.25,1
"11","i","u","t","b","iLetter","https://storage.googleapis.com/roar-ak/en/shared/iLetter.mp3","letterNameLower",1,-2.78050965384683,0.25,1,NA,NA,NA,NA,1,-2.78050965384683,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.2371385877239,0.25,1
"12","j","a","v","h","jLetter","https://storage.googleapis.com/roar-ak/en/shared/jLetter.mp3","letterNameLower",1,-2.63033701743711,0.25,1,NA,NA,NA,NA,1,-2.63033701743711,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.08805059827346,0.25,1
