,target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source
30,phack,pheb,sheck,swit,phack,https://storage.googleapis.com/roar-ak/en/shared/phack.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
31,choff,chet,smaff,swuss,choff,https://storage.googleapis.com/roar-ak/en/shared/choff.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
32,gnog,gnep,thag,brezz,gnog,https://storage.googleapis.com/roar-ak/en/shared/gnog.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
33,shex,shur,blix,plib,shex,https://storage.googleapis.com/roar-ak/en/shared/shex.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
34,gnuss,gnok,fress,clum,gnuss,https://storage.googleapis.com/roar-ak/en/shared/gnuss.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
35,chog,chir,prag,glup,chog,https://storage.googleapis.com/roar-ak/en/shared/chog.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
36,quezz,quass,slizz,slek,quezz,https://storage.googleapis.com/roar-ak/en/shared/quezz.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
37,gnid,gnozz,snad,spazz,gnid,https://storage.googleapis.com/roar-ak/en/shared/gnid.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
38,chuss,cheg,blass,crug,chuss,https://storage.googleapis.com/roar-ak/en/shared/chuss.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
39,phad,phum,skud,slezz,phad,https://storage.googleapis.com/roar-ak/en/shared/phad.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
40,paib,piech,moab,koab,paib,https://storage.googleapis.com/roar-ak/en/shared/paib.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
41,soik,seet,beik,geep,soick,https://storage.googleapis.com/roar-ak/en/shared/soick.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
42,sauch,soid,feech,zoop,sauch,https://storage.googleapis.com/roar-ak/en/shared/sauch.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
43,zeik,zoab,moak,nauss,zeik,https://storage.googleapis.com/roar-ak/en/shared/zeik.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
44,veim,voot,loim,kuir,veim,https://storage.googleapis.com/roar-ak/en/shared/veim.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
45,heek,houn,taik,zoar,heek,https://storage.googleapis.com/roar-ak/en/shared/heek.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
46,toik,toar,daik,moin,toick,https://storage.googleapis.com/roar-ak/en/shared/toick.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
47,zouch,zoak,mauch,lief,zouch,https://storage.googleapis.com/roar-ak/en/shared/zouch.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
48,woab,woos,teeb,pruid,woab,https://storage.googleapis.com/roar-ak/en/shared/woab.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
49,vaich,veek,joich,moaz,vaich,https://storage.googleapis.com/roar-ak/en/shared/vaich.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
50,heam,hooch,faim,deeg,heam,https://storage.googleapis.com/roar-ak/en/shared/heam.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
51,houd,heich,noid,taus,houd,https://storage.googleapis.com/roar-ak/en/shared/houd.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
52,deas,doen,noas,veez,deas,https://storage.googleapis.com/roar-ak/en/shared/deas.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
53,waig,weab,roag,loet,waig,https://storage.googleapis.com/roar-ak/en/shared/waig.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
54,koik,kuil,zaik,wiep,koik,https://storage.googleapis.com/roar-ak/en/shared/koik.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
55,kaib,kaul,meeb,hief,kaib,https://storage.googleapis.com/roar-ak/en/shared/kaib.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
56,bruid,boeg,cread,weer,bruid,https://storage.googleapis.com/roar-ak/en/shared/bruid.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
57,nieg,nooch,loag,haix,nieg,https://storage.googleapis.com/roar-ak/en/shared/nieg.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
58,slaip,soos,cloap,feeb,slaip,https://storage.googleapis.com/roar-ak/en/shared/slaip.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
59,laib,loip,yoob,queed,laib,https://storage.googleapis.com/roar-ak/en/shared/laib.mp3,1,0,0.25,1,phonics-2024-09-20-B,ylzhao
