target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source
ut,ust,tu,iet,ab1beta,https://storage.googleapis.com/roar-ak/en/shared/ab1beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
loy,lloy,lyo,luye,ab2beta,https://storage.googleapis.com/roar-ak/en/shared/ab2beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
foy,foyy,fyo,fiy,ab3beta,https://storage.googleapis.com/roar-ak/en/shared/ab3beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
bip,bimp,bpi,boup,ab4beta,https://storage.googleapis.com/roar-ak/en/shared/ab4beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
bry,bbry,rby,brui,ab5beta,https://storage.googleapis.com/roar-ak/en/shared/ab5beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
vay,vayy,vya,vuy,ab6beta,https://storage.googleapis.com/roar-ak/en/shared/ab6beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
lesh,leshh,lehs,lysh,ab7beta,https://storage.googleapis.com/roar-ak/en/shared/ab7beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
buvy,bquvy,bvuy,bauvy,ab8beta,https://storage.googleapis.com/roar-ak/en/shared/ab8beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
thet,thhet,teht,thoute,ab9beta,https://storage.googleapis.com/roar-ak/en/shared/ab9beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
rina,ringa,rian,rouna,ab10beta,https://storage.googleapis.com/roar-ak/en/shared/ab10beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
mopa,mopaa,moap,mypa,ab11beta,https://storage.googleapis.com/roar-ak/en/shared/ab11beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
cuvy,cxuvy,cvuy,cuvu,ab12beta,https://storage.googleapis.com/roar-ak/en/shared/ab12beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
jort,jjort,jrot,jeert,ab13beta,https://storage.googleapis.com/roar-ak/en/shared/ab13beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
jire,jgire,jrie,jure,ab14beta,https://storage.googleapis.com/roar-ak/en/shared/ab14beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
thoin,thoiin,thion,thean,ab15beta,https://storage.googleapis.com/roar-ak/en/shared/ab15beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
vack,vackk,vcak,vock,ab16beta,https://storage.googleapis.com/roar-ak/en/shared/ab16beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
ain,aiyn,ani,auan,ab17beta,https://storage.googleapis.com/roar-ak/en/shared/ab17beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
dree,dreee,dere,dreo,ab18beta,https://storage.googleapis.com/roar-ak/en/shared/ab18beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
yive,vyive,yvie,yeove,ab19beta,https://storage.googleapis.com/roar-ak/en/shared/ab19beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
bloi,blioi,lboi,blay,ab20beta,https://storage.googleapis.com/roar-ak/en/shared/ab20beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
ume,umhe,mue,uome,ab21beta,https://storage.googleapis.com/roar-ak/en/shared/ab21beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
strath,zstrath,srtath,struth,ab22beta,https://storage.googleapis.com/roar-ak/en/shared/ab22beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
trode,trodhe,torde,treade,ab23beta,https://storage.googleapis.com/roar-ak/en/shared/ab23beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
trass,truass,trsas,treiss,ab24beta,https://storage.googleapis.com/roar-ak/en/shared/ab24beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
dalve,dgalve,dlave,dulve,ab25beta,https://storage.googleapis.com/roar-ak/en/shared/ab25beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
zoul,zzoul,zuol,zele,ab26beta,https://storage.googleapis.com/roar-ak/en/shared/ab26beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
gleer,ggleer,geler,glaer,ab27beta,https://storage.googleapis.com/roar-ak/en/shared/ab27beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
bamper,bbamper,abamper,bomper,ab28beta,https://storage.googleapis.com/roar-ak/en/shared/ab28beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
swus,swyus,suws,swase,ab29beta,https://storage.googleapis.com/roar-ak/en/shared/ab29beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
chait,cchait,hcait,cheyt,ab30beta,https://storage.googleapis.com/roar-ak/en/shared/ab30beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
xerns,xeerns,xenrs,xierns,ab31beta,https://storage.googleapis.com/roar-ak/en/shared/ab31beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
frech,frecht,frehc,frich,ab32beta,https://storage.googleapis.com/roar-ak/en/shared/ab32beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
twark,twwark,twakr,twurk,ab33beta,https://storage.googleapis.com/roar-ak/en/shared/ab33beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
