target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source
tay,teg,zay,ney,tay,https://storage.googleapis.com/roar-ak/en/shared/tay.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
meff,mah,keff,saff,meff,https://storage.googleapis.com/roar-ak/en/shared/meff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
koll,kap,goll,sall,koll,https://storage.googleapis.com/roar-ak/en/shared/koll.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
kam,kug,zam,pem,kam,https://storage.googleapis.com/roar-ak/en/shared/kam.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
rozz,ren,jozz,pazz,rozz,https://storage.googleapis.com/roar-ak/en/shared/rozz.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
vot,vap,quot,zet,vot,https://storage.googleapis.com/roar-ak/en/shared/vot.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
cuzz,caff,suzz,kizz,cuzz,https://storage.googleapis.com/roar-ak/en/shared/cuzz.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
zuff,zir,wuff,liff,zuff,https://storage.googleapis.com/roar-ak/en/shared/zuff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
yass,yih,kass,quess,yass,https://storage.googleapis.com/roar-ak/en/shared/yass.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
woll,wek,koll,lell,woll,https://storage.googleapis.com/roar-ak/en/shared/woll.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
niv,noss,biv,kav,niv,https://storage.googleapis.com/roar-ak/en/shared/niv.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
fok,fep,pok,gak,fok,https://storage.googleapis.com/roar-ak/en/shared/fok.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
juzz,jin,duzz,kozz,juzz,https://storage.googleapis.com/roar-ak/en/shared/juzz.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
yog,yup,zog,zug,yog,https://storage.googleapis.com/roar-ak/en/shared/yog.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
neh,niss,beh,tah,neh,https://storage.googleapis.com/roar-ak/en/shared/neh.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
pham,pholl,blam,flom,pham,https://storage.googleapis.com/roar-ak/en/shared/pham.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
qued,quiss,dred,swid,qued,https://storage.googleapis.com/roar-ak/en/shared/qued.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
chot,chep,drot,plut,chot,https://storage.googleapis.com/roar-ak/en/shared/chot.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
quall,quozz,clall,crell,quall,https://storage.googleapis.com/roar-ak/en/shared/quall.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
whok,whag,scok,swuk,whok,https://storage.googleapis.com/roar-ak/en/shared/whok.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
thaff,thoh,praff,ploff,thaff,https://storage.googleapis.com/roar-ak/en/shared/thaff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
whut,whess,trut,skot,whut,https://storage.googleapis.com/roar-ak/en/shared/whut.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
gneff,gnuy,pleff,glaff,gneff,https://storage.googleapis.com/roar-ak/en/shared/gneff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
shuzz,sholl,cluzz,spazz,shuzz,https://storage.googleapis.com/roar-ak/en/shared/shuzz.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
whih,whed,phih,snoh,whih,https://storage.googleapis.com/roar-ak/en/shared/whih.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
shub,shey,scub,scib,shub,https://storage.googleapis.com/roar-ak/en/shared/shub.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
quoff,quep,snoff,treff,quoff,https://storage.googleapis.com/roar-ak/en/shared/quoff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
voick,veek,poick,nack,voick,https://storage.googleapis.com/roar-ak/en/shared/voick.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
deach,douck,feach,puch,deach,https://storage.googleapis.com/roar-ak/en/shared/deach.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
keeb,koar,peeb,hab,keeb,https://storage.googleapis.com/roar-ak/en/shared/keeb.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
paib,peeck,maib,seb,paib,https://storage.googleapis.com/roar-ak/en/shared/paib.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
soick,seet,zoick,vack,soick,https://storage.googleapis.com/roar-ak/en/shared/soick.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
sauch,sied,fauch,roch,sauch,https://storage.googleapis.com/roar-ak/en/shared/sauch.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
zeik,zoag,meik,dek,zeik,https://storage.googleapis.com/roar-ak/en/shared/zeik.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
veim,vooch,leim,kom,veim,https://storage.googleapis.com/roar-ak/en/shared/veim.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
heeck,houn,leeck,gack,heeck,https://storage.googleapis.com/roar-ak/en/shared/heeck.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
toick,toar,doick,zock,toick,https://storage.googleapis.com/roar-ak/en/shared/toick.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
zouch,zoack,souch,gech,zouch,https://storage.googleapis.com/roar-ak/en/shared/zouch.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
