"","sentence","grade","answer","direction","itemId"
"1","A fish can swim.",1,TRUE,"right","TOSREC_1"
"2","Pigs can fly.",1,FALSE,"left","TOSREC_2"
"3","Bears have fur.",1,TRUE,"right","TOSREC_3"
"4","A fox can run.",1,TRUE,"right","TOSREC_4"
"5","Mom can ride a kite.",1,FALSE,"left","TOSREC_5"
"6","Cats drive a bus.",1,FALSE,"left","TOSREC_6"
"7","The grass is green.",1,TRUE,"right","TOSREC_7"
"8","Cows go to church.",1,FALSE,"left","TOSREC_8"
"9","You can help a baby.",1,TRUE,"right","TOSREC_9"
"10","You sleep on a log.",1,FALSE,"left","TOSREC_10"
"11","Ducks like to dress up.",1,FALSE,"left","TOSREC_11"
"12","You can eat an egg.",1,TRUE,"right","TOSREC_12"
"13","A mouse can quack.",1,FALSE,"left","TOSREC_13"
"14","Birds fly in the sky.",1,TRUE,"right","TOSREC_14"
"15","Some girls like juice.",1,TRUE,"right","TOSREC_15"
"16","A princess lives in the sun.",1,FALSE,"left","TOSREC_16"
"17","You can keep money in the bank.",1,TRUE,"right","TOSREC_17"
"18","An eagle is a small bird.",1,FALSE,"left","TOSREC_18"
"19","You can feed a hamster.",1,TRUE,"right","TOSREC_19"
"20","Popcorn can be cooked on a stove.",1,TRUE,"right","TOSREC_20"
"21","You eat cereal with a fork.",1,FALSE,"left","TOSREC_21"
"22","A lion can fly at night.",1,FALSE,"left","TOSREC_22"
"23","You can fill a balloon with air.",1,TRUE,"right","TOSREC_23"
"24","A fishing boat can be at a dock.",1,TRUE,"right","TOSREC_24"
"25","You might find a cabin in the woods.",1,TRUE,"right","TOSREC_25"
"26","Football is played by frogs.",1,FALSE,"left","TOSREC_26"
"27","You can find starfish in space.",1,FALSE,"left","TOSREC_27"
"28","A joke might not be funny.",1,TRUE,"right","TOSREC_28"
"29","You can ride a rooster.",1,FALSE,"left","TOSREC_29"
"30","A doctor can help if you are sick.",1,TRUE,"right","TOSREC_30"
"31","Clowns live in caves with crickets.",1,FALSE,"left","TOSREC_31"
"32","You can practice how to sail a boat.",1,TRUE,"right","TOSREC_32"
"33","Bullfrogs wear green boots on their feet.",1,FALSE,"left","TOSREC_33"
"34","You say good-bye when you leave.",1,TRUE,"right","TOSREC_34"
"35","You might earn money if you clean your room.",1,TRUE,"right","TOSREC_35"
"36","A wagon is used for catching fish.",1,FALSE,"left","TOSREC_36"
"37","An artist can paint a picture.",1,TRUE,"right","TOSREC_37"
"38","You can grow onions in a tree.",1,FALSE,"left","TOSREC_38"
"39","A boy might read an article in a book.",1,TRUE,"right","TOSREC_39"
"40","You can use a rattle to write a letter.",1,FALSE,"left","TOSREC_40"
"41","A horse can slide up a mountain covered in snow.",1,FALSE,"left","TOSREC_41"
"42","Raindrops can fall down a chimney.",1,TRUE,"right","TOSREC_42"
"43","You might find a parade of ants at a picnic.",1,TRUE,"right","TOSREC_43"
"44","A boy can use a ladder to climb into a tree house.",1,TRUE,"right","TOSREC_44"
"45","Doughnuts like to read comic books.",1,FALSE,"left","TOSREC_45"
"46","You might learn counting and addition at school.",1,TRUE,"right","TOSREC_46"
"47","The weather is hot and sunny in the Arctic.",1,FALSE,"left","TOSREC_47"
"48","Lobsters might be found eating grain in a snowstorm.",1,FALSE,"left","TOSREC_48"
"49","Sharks like to ride on moving skateboards.",1,FALSE,"left","TOSREC_49"
"50","A couch and tables are for sale in a furniture store.",1,TRUE,"right","TOSREC_50"
"51","A boy can eat cake.",2,TRUE,"right","TOSREC_51"
"52","It is hot in the snow.",2,FALSE,"left","TOSREC_52"
"53","A horse lives in a barn.",2,TRUE,"right","TOSREC_53"
"54","The sun is dark.",2,FALSE,"left","TOSREC_54"
"55","A car can walk.",2,FALSE,"left","TOSREC_55"
"56","You can look at a house.",2,TRUE,"right","TOSREC_56"
"57","A girl can wear a shoe.",2,TRUE,"right","TOSREC_57"
"58","You write with gum.",2,FALSE,"left","TOSREC_58"
"59","You can drive a hen.",2,FALSE,"left","TOSREC_59"
"60","Fish swim in a lake.",2,TRUE,"right","TOSREC_60"
"61","A tiger will roar.",2,TRUE,"right","TOSREC_61"
"62","A princess lives on the sun.",2,FALSE,"left","TOSREC_62"
"63","You eat cereal with a fork.",2,FALSE,"left","TOSREC_21"
"64","There is sand at the beach.",2,TRUE,"right","TOSREC_63"
"65","You can buy some food in a market.",2,TRUE,"right","TOSREC_64"
"66","Moths listen to moons.",2,FALSE,"left","TOSREC_65"
"67","You can cook an airport.",2,FALSE,"left","TOSREC_66"
"68","A doctor can help if you are sick.",2,TRUE,"right","TOSREC_30"
"69","A lion can fly at night.",2,FALSE,"left","TOSREC_22"
"70","Birds make nests for their babies.",2,TRUE,"right","TOSREC_67"
"71","A boy might read an article.",2,TRUE,"right","TOSREC_68"
"72","A lighthouse shines brightly at night.",2,TRUE,"right","TOSREC_69"
"73","You might find an island in your cereal.",2,FALSE,"left","TOSREC_70"
"74","Ladders are always made of steak.",2,FALSE,"left","TOSREC_71"
"75","You might find a parade of ants at a picnic.",2,TRUE,"right","TOSREC_43"
"76","A chipmunk can work on the railroad.",2,FALSE,"left","TOSREC_72"
"77","An artist can paint a picture.",2,TRUE,"right","TOSREC_37"
"78","You can write with an onion.",2,FALSE,"left","TOSREC_73"
"79","You might find a starfish jogging by the sea.",2,FALSE,"left","TOSREC_74"
"80","A boy can use a ladder to climb into a tree house.",2,TRUE,"right","TOSREC_44"
"81","The alphabet is made of coal and sticks.",2,FALSE,"left","TOSREC_75"
"82","Raindrops can fall down a chimney.",2,TRUE,"right","TOSREC_42"
"83","A carrot has three eyes, one nose, and a mouth.",2,FALSE,"left","TOSREC_76"
"84","You may borrow a pencil from a cat.",2,FALSE,"left","TOSREC_77"
"85","A mother will be proud if her children fail in school.",2,FALSE,"left","TOSREC_78"
"86","Baby chickens are called chicks.",2,TRUE,"right","TOSREC_79"
"87","A storm can produce flooding.",2,TRUE,"right","TOSREC_80"
"88","Doughnuts grow in the ground with spinach.",2,FALSE,"left","TOSREC_81"
"89","A mule might pull a heavy wagon up a steep hill.",2,TRUE,"right","TOSREC_82"
"90","A lighthouse is used to shine light for ships sailing to shore.",2,TRUE,"right","TOSREC_83"
"91","Cattle swim in catnip.",2,FALSE,"left","TOSREC_84"
