"","sentence","answer","direction","difficulty","itemId","testsetId"
"1","A chef works at a restaurant.",TRUE,"right",NA,"AI-pset-1-1",1
"2","Birds like to build nests.",TRUE,"right",NA,"AI-pset-1-2",1
"3","Oceans are always dry.",FALSE,"left",NA,"AI-pset-1-3",1
"4","Apples are a type of vegetable.",FALSE,"left",NA,"AI-pset-1-4",1
"5","Ducks enjoy swimming in the pond.",TRUE,"right",NA,"AI-pset-1-5",1
"6","Schools are built on clouds.",FALSE,"left",NA,"AI-pset-1-6",1
"7","Artists paint beautiful paintings.",TRUE,"right",NA,"AI-pset-1-7",1
"8","Dogs bark at strangers.",TRUE,"right",NA,"AI-pset-1-8",1
"9","The color of a banana is yellow.",TRUE,"right",NA,"AI-pset-1-9",1
"10","Sunglasses are useful for keeping people dry when it snows.",FALSE,"left",NA,"AI-pset-1-10",1
"11","Horses enjoy galloping freely.",TRUE,"right",NA,"AI-pset-1-11",1
"12","A tiger is a bird.",FALSE,"left",NA,"AI-pset-1-12",1
"13","Tigers enjoy knitting sweaters.",FALSE,"left",NA,"AI-pset-1-13",1
"14","Lamp-posts love to eat spaghetti.",FALSE,"left",NA,"AI-pset-1-14",1
"15","Schools are floating in the air.",FALSE,"left",NA,"AI-pset-2-1",2
"16","Sandwiches sprout on bushes.",FALSE,"left",NA,"AI-pset-2-2",2
"17","Bikes have two wheels.",TRUE,"right",NA,"AI-pset-2-3",2
"18","Butterflies have beautiful, colorful wings.",TRUE,"right",NA,"AI-pset-2-4",2
"19","A watch goes on your foot.",FALSE,"left",NA,"AI-pset-2-5",2
"20","A chair has four legs.",TRUE,"right",NA,"AI-pset-2-6",2
"21","Cats can speak French.",FALSE,"left",NA,"AI-pset-2-7",2
"22","Trees love drawing with green crayons.",FALSE,"left",NA,"AI-pset-2-8",2
"23","A librarian works in a library.",TRUE,"right",NA,"AI-pset-2-9",2
"24","Cakes are yummy desserts.",TRUE,"right",NA,"AI-pset-2-10",2
"25","Cities can be very busy places with many people.",TRUE,"right",NA,"AI-pset-2-11",2
"26","Rain is sand that falls from clouds in the sky.",FALSE,"left",NA,"AI-pset-2-12",2
"27","Books are made of many pages.",TRUE,"right",NA,"AI-pset-2-13",2
"28","A bell can jump higher than mountains.",FALSE,"left",NA,"AI-pset-2-14",2
"29","Robots are machines that can do tasks automatically.",TRUE,"right",NA,"AI-pset-3-1",3
"30","Corn grows tall in the field.",TRUE,"right",NA,"AI-pset-3-2",3
