sentence,answer,direction,difficulty,itemId,corpusId,form,itemNum,itemId_old
Fish can sing.,FALSE,left,easy,aiv3_form1_1,aiv3,1,1,AI-pset-4-11
Kids like to play games.,TRUE,right,easy,aiv3_form1_2,aiv3,1,2,AI-pset-45-8
All dogs have wings.,FALSE,left,easy,aiv3_form1_3,aiv3,1,3,AI-pset-20-3
Many kids love pizza.,TRUE,right,easy,aiv3_form1_4,aiv3,1,4,AI-pset-39-7
Birds can be noisy.,TRUE,right,easy,aiv3_form1_5,aiv3,1,5,AI-pset-30-14
Bubbles have roots.,FALSE,left,easy,aiv3_form1_6,aiv3,1,6,AI-pset-37-9
Babies can feel sleepy.,TRUE,right,easy,aiv3_form1_7,aiv3,1,7,AI-pset-6-8
People sometimes eat fruits.,TRUE,right,easy,aiv3_form1_8,aiv3,1,8,AI-pset-36-12
Pigs adore skydiving.,FALSE,left,easy,aiv3_form1_9,aiv3,1,9,AI-pset-28-5
Some trees love to run.,FALSE,left,easy,aiv3_form1_10,aiv3,1,10,AI-pset-32-10
People sometimes eat chocolate.,TRUE,right,easy,aiv3_form1_11,aiv3,1,11,AI-pset-48-5
We can buy books at a bookstore.,TRUE,right,easy,aiv3_form1_12,aiv3,1,12,AI-pset-40-7
Boxes can be used to store items.,TRUE,right,easy,aiv3_form1_13,aiv3,1,13,AI-pset-50-13
Shoes are made from clouds.,FALSE,left,easy,aiv3_form1_14,aiv3,1,14,AI-pset-36-13
Apples grow on ocean floors.,FALSE,left,easy,aiv3_form1_15,aiv3,1,15,AI-pset-33-11
All doors are made of chocolate.,FALSE,left,easy,aiv3_form1_16,aiv3,1,16,AI-pset-5-11
Bears frequently play football.,FALSE,left,easy,aiv3_form1_17,aiv3,1,17,AI-pset-43-3
Balloons can be filled with air.,TRUE,right,easy,aiv3_form1_18,aiv3,1,18,AI-pset-23-1
People usually breathe with their lungs.,TRUE,right,easy,aiv3_form1_19,aiv3,1,19,AI-pset-48-11
People can fly by flapping their arms.,FALSE,left,easy,aiv3_form1_20,aiv3,1,20,AI-pset-7-6
A truck can be used to transport goods.,TRUE,right,easy,aiv3_form1_21,aiv3,1,21,AI-pset-28-6
Honey is sweet and sticky and comes from bees.,TRUE,right,easy,aiv3_form1_22,aiv3,1,22,AI-pset-34-5
Windows can be made of cheese.,FALSE,left,easy,aiv3_form1_23,aiv3,1,23,AI-pset-8-11
People can purchase shoes at the shopping mall.,TRUE,right,easy,aiv3_form1_24,aiv3,1,24,AI-pset-39-1
Lions can roar.,TRUE,right,medium,aiv3_form1_25,aiv3,1,25,AI-pset-26-8
Socks should be worn on your ears.,FALSE,left,easy,aiv3_form1_26,aiv3,1,26,AI-pset-20-5
An eagle is a bird.,TRUE,right,medium,aiv3_form1_27,aiv3,1,27,AI-pset-24-14
Teenagers can be stubborn.,TRUE,right,medium,aiv3_form1_28,aiv3,1,28,AI-pset-49-11
The wind likes to fry eggs.,FALSE,left,easy,aiv3_form1_29,aiv3,1,29,AI-pset-24-10
A boat sails on the water.,TRUE,right,medium,aiv3_form1_30,aiv3,1,30,AI-pset-40-8
Stormy nights are always sunny.,FALSE,left,easy,aiv3_form1_31,aiv3,1,31,AI-pset-31-1
Some people get to work by unicorn.,FALSE,left,easy,aiv3_form1_32,aiv3,1,32,AI-pset-17-1
Houses can walk.,FALSE,left,medium,aiv3_form1_33,aiv3,1,33,AI-pset-7-8
Vegetables are nutritious food.,TRUE,right,medium,aiv3_form1_34,aiv3,1,34,AI-pset-48-9
Lions are large predators.,TRUE,right,medium,aiv3_form1_35,aiv3,1,35,AI-pset-22-1
Horses can read.,FALSE,left,medium,aiv3_form1_36,aiv3,1,36,AI-pset-41-1
Pillows are made from ice.,FALSE,left,medium,aiv3_form1_37,aiv3,1,37,AI-pset-47-6
Chairs can climb mountains.,FALSE,left,medium,aiv3_form1_38,aiv3,1,38,AI-pset-22-12
Posters can hang on the wall.,TRUE,right,medium,aiv3_form1_39,aiv3,1,39,AI-pset-16-13
Birds can breathe underwater.,FALSE,left,medium,aiv3_form1_40,aiv3,1,40,AI-pset-24-7
A lamp reads books.,FALSE,left,medium,aiv3_form1_41,aiv3,1,41,AI-pset-39-14
A jacket is usually warm.,TRUE,right,medium,aiv3_form1_42,aiv3,1,42,AI-pset-20-14
Feathers are made of steel.,FALSE,left,medium,aiv3_form1_43,aiv3,1,43,AI-pset-43-2
People often color with crayons.,TRUE,right,medium,aiv3_form1_44,aiv3,1,44,AI-pset-50-8
Stars ride on the river.,FALSE,left,medium,aiv3_form1_45,aiv3,1,45,AI-pset-36-7
Washing machines clean clothes.,TRUE,right,medium,aiv3_form1_46,aiv3,1,46,AI-pset-11-1
Hats enjoy brewing coffee.,FALSE,left,medium,aiv3_form1_47,aiv3,1,47,AI-pset-27-6
Bakers bake things in ovens.,TRUE,right,medium,aiv3_form1_48,aiv3,1,48,AI-pset-47-13
Birds can knit sweaters.,FALSE,left,medium,aiv3_form1_49,aiv3,1,49,AI-pset-16-1
Kids often eat cereal using a spoon.,TRUE,right,medium,aiv3_form1_50,aiv3,1,50,AI-pset-18-14
People can buy computers at the bakery.,FALSE,left,medium,aiv3_form1_51,aiv3,1,51,AI-pset-42-13
Sleep is important for the body and mind to rest and restore.,TRUE,right,medium,aiv3_form1_52,aiv3,1,52,AI-pset-23-9
Mirrors enjoy eating toast.,FALSE,left,medium,aiv3_form1_53,aiv3,1,53,AI-pset-24-6
We feel hot when fire is near.,TRUE,right,medium,aiv3_form1_54,aiv3,1,54,AI-pset-19-2
Most fish wear hats when they go swimming.,FALSE,left,medium,aiv3_form1_55,aiv3,1,55,AI-pset-29-14
Kittens are aged elephants and can be very moody.,FALSE,left,medium,aiv3_form1_56,aiv3,1,56,AI-pset-21-3
People wear scarves to keep their necks warm.,TRUE,right,medium,aiv3_form1_57,aiv3,1,57,AI-pset-15-6
Rain helps plants to grow and is part of the water cycle.,TRUE,right,medium,aiv3_form1_58,aiv3,1,58,AI-pset-34-1
Mountains are home to sea creatures.,FALSE,left,medium,aiv3_form1_59,aiv3,1,59,AI-pset-16-3
A dolphin has fins.,TRUE,right,hard,aiv3_form1_60,aiv3,1,60,AI-pset-28-11
Running shoes help you run faster.,TRUE,right,hard,aiv3_form1_61,aiv3,1,61,AI-pset-8-10
Tennis is a game you play with small mint candies.,FALSE,left,medium,aiv3_form1_62,aiv3,1,62,AI-pset-18-10
Shoes should be worn on your feet.,TRUE,right,hard,aiv3_form1_63,aiv3,1,63,AI-pset-44-9
Mechanics fix cars in garages.,TRUE,right,hard,aiv3_form1_64,aiv3,1,64,AI-pset-12-1
Cats often have feathers.,FALSE,left,hard,aiv3_form1_65,aiv3,1,65,AI-pset-8-14
Rain is sand that falls from clouds in the sky.,FALSE,left,hard,aiv3_form1_66,aiv3,1,66,AI-pset-2-12
