"identifier","label","en-US","es-CO","de","fr-CA","nl","en-GH","de-CH","es-AR"
"components/participant-sidebar.grade","","Grade","Grado","Klasse","Grade","Grade","Grade","Klasse","Grade"
"components/participant-sidebar.studentInfo","","Participant Info","Información del estudiante","Schülerinformationen","Participant Info","Participant Info","Participant Info","Schülerinformationen","Participant Info"
"components/participant-sidebar.tasksCompleted","","tasks completed!","¡tareas completadas!","Aufgaben abgeschlossen!","tasks completed!","tasks completed!","tasks completed!","Aufgaben abgeschlossen!","tasks completed!"
"components/participant-sidebar.statusCurrent","","Current","Actual","Aktuell","Current","Current","","Aktuell","Current"
"components/participant-sidebar.statusOpened","","Opened","Opened","Opened","Opened","Opened","","Opened","Opened"
"components/participant-sidebar.statusClose","","Close","Cerrar","Schließen","Close","Close","","Schließen","Close"
"components/participant-sidebar.statusClosed","","Closed","Closed","Closed","Closed","Closed","","Closed","Closed"
"components/participant-sidebar.statusOpen","","Open","Open","Open","Open","Open","","Open","Open"
"components/participant-sidebar.statusUpcoming","","Upcoming","Próximo","Kommend","Upcoming","Upcoming","","Kommend","Upcoming"
"components/participant-sidebar.statusPast","","Past","Pasado","Vergangen","Past","Past","","Vergangen","Past"
"components/participant-sidebar.assignments","","Assignments","Asignaciones","Zuordnungen","Assignments","Assignments","","Zuordnungen","Assignments"
"components/participant-sidebar.noCurrentAssignments","","No Current Assignments","No Current Assignments","No Current Assignments","No Current Assignments","No Current Assignments","","No Current Assignments","No Current Assignments"
"components/participant-sidebar.noUpcomingAssignments","","No Upcoming assignments","No Upcoming assignments","No Upcoming assignments","No Upcoming assignments","No Upcoming assignments","","No Upcoming assignments","No Upcoming assignments"
"components/participant-sidebar.noPastAssignments","","No past assignments","No past assignments","No past assignments","No past assignments","No past assignments","","No past assignments","No past assignments"
