Letter,Vowel,Consonant1,Consonant2,audioFile,audioUrl,a,b,c,d,corpusId
a,a,a,a,aPhoneme,https://storage.googleapis.com/roar-ak/es/shared/aPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
á,á,á,á,a_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/a_tildePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
b,b,b,b,bPhoneme,https://storage.googleapis.com/roar-ak/es/shared/bPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
c_strong_aou,c_strong_aou,c_strong_aou,c_strong_aou,c_strongPhoneme,https://storage.googleapis.com/roar-ak/es/shared/c_strongPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
ca,ca,ca,ca,caPhoneme,https://storage.googleapis.com/roar-ak/es/shared/caPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
co,co,co,co,coPhoneme,https://storage.googleapis.com/roar-ak/es/shared/coPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
cu,cu,cu,cu,cuPhoneme,https://storage.googleapis.com/roar-ak/es/shared/cuPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
c_soft_ei,c_soft_ei,c_soft_ei,c_soft_ei,c_softPhoneme,https://storage.googleapis.com/roar-ak/es/shared/c_softPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
ce,ce,ce,ce,cePhoneme,https://storage.googleapis.com/roar-ak/es/shared/cePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
ci,ci,ci,ci,ciPhoneme,https://storage.googleapis.com/roar-ak/es/shared/ciPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
ch_digraph,ch_digraph,ch_digraph,ch_digraph,chPhoneme,https://storage.googleapis.com/roar-ak/es/shared/chPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
d,d,d,d,dPhoneme,https://storage.googleapis.com/roar-ak/es/shared/dPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
e,e,e,e,ePhoneme,https://storage.googleapis.com/roar-ak/es/shared/ePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
é,é,é,é,e_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/e_tildePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
ei,ei,ei,ei,eiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/eiPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
f,f,f,f,fPhoneme,https://storage.googleapis.com/roar-ak/es/shared/fPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
g_strong_aou,g_strong_aou,g_strong_aou,g_strong_aou,g_strongPhoneme,https://storage.googleapis.com/roar-ak/es/shared/g_strongPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
ga,ga,ga,ga,gaPhoneme,https://storage.googleapis.com/roar-ak/es/shared/gaPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
go,go,go,go,goPhoneme,https://storage.googleapis.com/roar-ak/es/shared/goPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
gu,gu,gu,gu,guPhoneme,https://storage.googleapis.com/roar-ak/es/shared/guPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
g_soft_ei,g_soft_ei,g_soft_ei,g_soft_ei,g_softPhoneme,https://storage.googleapis.com/roar-ak/es/shared/g_softPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
ge,ge,ge,ge,gePhoneme,https://storage.googleapis.com/roar-ak/es/shared/gePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
gi,gi,gi,gi,giPhoneme,https://storage.googleapis.com/roar-ak/es/shared/giPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
gue,gue,gue,gue,guePhoneme,https://storage.googleapis.com/roar-ak/es/shared/guePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
gui,gui,gui,gui,guiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/guiPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
güi,güi,güi,güi,guuiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/guuiPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
güe,güe,güe,güe,guuePhoneme,https://storage.googleapis.com/roar-ak/es/shared/guuePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
h,h,h,h,hPhoneme,https://storage.googleapis.com/roar-ak/es/shared/hPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
ha,ha,ha,ha,haPhoneme,https://storage.googleapis.com/roar-ak/es/shared/haPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
he,he,he,he,hePhoneme,https://storage.googleapis.com/roar-ak/es/shared/hePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
hi,hi,hi,hi,hiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/hiPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
ho,ho,ho,ho,hoPhoneme,https://storage.googleapis.com/roar-ak/es/shared/hoPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
hu,hu,hu,hu,huPhoneme,https://storage.googleapis.com/roar-ak/es/shared/huPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
i,i,i,i,iPhoneme,https://storage.googleapis.com/roar-ak/es/shared/iPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
í,í,í,í,i_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/i_tildePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
ie,ie,ie,ie,iePhoneme,https://storage.googleapis.com/roar-ak/es/shared/iePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
j,j,j,j,jPhoneme,https://storage.googleapis.com/roar-ak/es/shared/jPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
k,k,k,k,kPhoneme,https://storage.googleapis.com/roar-ak/es/shared/kPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
l,l,l,l,lPhoneme,https://storage.googleapis.com/roar-ak/es/shared/lPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
m,m,m,m,mPhoneme,https://storage.googleapis.com/roar-ak/es/shared/mPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
n,n,n,n,nPhoneme,https://storage.googleapis.com/roar-ak/es/shared/nPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
ñ,ñ,ñ,ñ,eniePhoneme,https://storage.googleapis.com/roar-ak/es/shared/eniePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
o,o,o,o,oPhoneme,https://storage.googleapis.com/roar-ak/es/shared/oPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
ó,ó,ó,ó,o_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/o_tildePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
p,p,p,p,pPhoneme,https://storage.googleapis.com/roar-ak/es/shared/pPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
q,q,q,q,qPhoneme,https://storage.googleapis.com/roar-ak/es/shared/qPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
que,que,que,que,quePhoneme,https://storage.googleapis.com/roar-ak/es/shared/quePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
qui,qui,qui,qui,quiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/quiPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
r_soft,r_soft,r_soft,r_soft,rSoftPhoneme,https://storage.googleapis.com/roar-ak/es/shared/rSoftPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
r_strong,r_strong,r_strong,r_strong,rStrongPhoneme,https://storage.googleapis.com/roar-ak/es/shared/rStrongPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
s,s,s,s,sPhoneme,https://storage.googleapis.com/roar-ak/es/shared/sPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
t,t,t,t,tPhoneme,https://storage.googleapis.com/roar-ak/es/shared/tPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
u,u,u,u,uPhoneme,https://storage.googleapis.com/roar-ak/es/shared/uPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
ú,ú,ú,ú,u_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/u_tildePhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
ua,ua,ua,ua,uaPhoneme,https://storage.googleapis.com/roar-ak/es/shared/uaPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup2
v,v,v,v,vPhoneme,https://storage.googleapis.com/roar-ak/es/shared/vPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
w,w,w,w,wPhoneme,https://storage.googleapis.com/roar-ak/es/shared/wPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
x,x,x,x,xPhoneme,https://storage.googleapis.com/roar-ak/es/shared/xPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
y_consonantal,y_consonantal,y_consonantal,y_consonantal,yConsonantPhoneme,https://storage.googleapis.com/roar-ak/es/shared/yConsonantPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
y_vowel,y_vowel,y_vowel,y_vowel,yVowelPhoneme,https://storage.googleapis.com/roar-ak/es/shared/yVowelPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup1
z,z,z,z,zPhoneme,https://storage.googleapis.com/roar-ak/es/shared/zPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup4
ll_digraph,ll_digraph,ll_digraph,ll_digraph,llPhoneme,https://storage.googleapis.com/roar-ak/es/shared/llPhoneme.mp3,1,0,0.25,1,letterPhonemeGroup3
