target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId
A,I,Ñ,M,aLetter,https://storage.googleapis.com/roar-ak/es/shared/aLetter.mp3,1,0,0.5,1,letterNameUpper
B,U,F,Z,bLetter,https://storage.googleapis.com/roar-ak/es/shared/bLetter.mp3,1,0,0.5,1,letterNameUpper
C,A,J,W,cLetter,https://storage.googleapis.com/roar-ak/es/shared/cLetter.mp3,1,0,0.5,1,letterNameUpper
D,O,F,X,dLetter,https://storage.googleapis.com/roar-ak/es/shared/dLetter.mp3,1,0,0.5,1,letterNameUpper
E,A,J,K,eLetter,https://storage.googleapis.com/roar-ak/es/shared/eLetter.mp3,1,0,0.5,1,letterNameUpper
F,E,H,R,fLetter,https://storage.googleapis.com/roar-ak/es/shared/fLetter.mp3,1,0,0.5,1,letterNameUpper
G,U,C,L,gLetter,https://storage.googleapis.com/roar-ak/es/shared/gLetter.mp3,1,0,0.5,1,letterNameUpper
H,A,L,Z,hLetter,https://storage.googleapis.com/roar-ak/es/shared/hLetter.mp3,1,0,0.5,1,letterNameUpper
I,O,K,B,iLetter,https://storage.googleapis.com/roar-ak/es/shared/iLetter.mp3,1,0,0.5,1,letterNameUpper
J,E,V,H,jLetter,https://storage.googleapis.com/roar-ak/es/shared/jLetter.mp3,1,0,0.5,1,letterNameUpper
K,O,F,M,kLetter,https://storage.googleapis.com/roar-ak/es/shared/kLetter.mp3,1,0,0.5,1,letterNameUpper
L,A,M,X,lLetter,https://storage.googleapis.com/roar-ak/es/shared/lLetter.mp3,1,0,0.5,1,letterNameUpper
M,U,P,K,mLetter,https://storage.googleapis.com/roar-ak/es/shared/mLetter.mp3,1,0,0.5,1,letterNameUpper
N,I,F,Ñ,nLetter,https://storage.googleapis.com/roar-ak/es/shared/nLetter.mp3,1,0,0.5,1,letterNameUpper
Ñ,U,N,W,enieLetter,https://storage.googleapis.com/roar-ak/es/shared/enieLetter.mp3,1,0,0.5,1,letterNameUpper
O,A,J,G,oLetter,https://storage.googleapis.com/roar-ak/es/shared/oLetter.mp3,1,0,0.5,1,letterNameUpper
P,I,G,Z,pLetter,https://storage.googleapis.com/roar-ak/es/shared/pLetter.mp3,1,0,0.5,1,letterNameUpper
Q,E,F,Y,qLetter,https://storage.googleapis.com/roar-ak/es/shared/qLetter.mp3,1,0,0.5,1,letterNameUpper
R,O,W,M,rLetter,https://storage.googleapis.com/roar-ak/es/shared/rLetter.mp3,1,0,0.5,1,letterNameUpper
S,A,B,H,sLetter,https://storage.googleapis.com/roar-ak/es/shared/sLetter.mp3,1,0,0.5,1,letterNameUpper
T,O,F,Z,tLetter,https://storage.googleapis.com/roar-ak/es/shared/tLetter.mp3,1,0,0.5,1,letterNameUpper
U,O,J,T,uLetter,https://storage.googleapis.com/roar-ak/es/shared/uLetter.mp3,1,0,0.5,1,letterNameUpper
V,I,N,X,vLetter,https://storage.googleapis.com/roar-ak/es/shared/vLetter.mp3,1,0,0.5,1,letterNameUpper
W,U,G,L,wLetter,https://storage.googleapis.com/roar-ak/es/shared/wLetter.mp3,1,0,0.5,1,letterNameUpper
X,E,K,M,xLetter,https://storage.googleapis.com/roar-ak/es/shared/xLetter.mp3,1,0,0.5,1,letterNameUpper
Y,E,P,R,yLetter,https://storage.googleapis.com/roar-ak/es/shared/yLetter.mp3,1,0,0.5,1,letterNameUpper
Z,A,T,M,zLetter,https://storage.googleapis.com/roar-ak/es/shared/zLetter.mp3,1,0,0.5,1,letterNameUpper
