target,distractor1,distractor2,distractor3,audioFile,audioUrl,composite.a,composite.b,composite.c,composite.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,corpusId
t,o,r,f,tLetter,https://storage.googleapis.com/roar-ak/es/shared/tLetter.mp3,NA,NA,NA,NA,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNamePractice
o,g,p,j,oLetter,https://storage.googleapis.com/roar-ak/es/shared/oLetter.mp3,NA,NA,NA,NA,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNamePractice
a,i,ñ,m,aLetter,https://storage.googleapis.com/roar-ak/es/shared/aLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
b,u,f,z,bLetter,https://storage.googleapis.com/roar-ak/es/shared/bLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
c,a,j,w,cLetter,https://storage.googleapis.com/roar-ak/es/shared/cLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
d,o,f,x,dLetter,https://storage.googleapis.com/roar-ak/es/shared/dLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
e,a,j,k,eLetter,https://storage.googleapis.com/roar-ak/es/shared/eLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
f,e,h,r,fLetter,https://storage.googleapis.com/roar-ak/es/shared/fLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
g,u,c,l,gLetter,https://storage.googleapis.com/roar-ak/es/shared/gLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
h,a,l,z,hLetter,https://storage.googleapis.com/roar-ak/es/shared/hLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
